Expanded Results,,,,,,,,,,,,,,,,,,,,
Wind Load - 0,,,,,,,,,,,,,,,,,,,,
Name_Enc_Out,At,Af,Ac,Acsup,As,Indice_Cheios,cf0f,cf0c,cf0csup,cfs0,cfs,c0_Vento_For,CsCd,Pressao_troco_medio,FmW,FTW,L_lin_equiv,Ka,FmW_lin,FTW_lin
Shaft 4,5.18,0.0,0.897,0.0,0.897,0.173,2.633,1.522,1.083,2.0,1.522,1.089,0.948,918.1,495.5,1259.5,0.253,0.8,215.8,548.6
Shaft 3,12.369,0.0,2.265,0.0,2.265,0.183,2.599,1.506,1.083,2.0,1.506,1.097,0.948,862.9,1162.5,2874.4,0.253,0.8,484.3,1197.4
Shaft 2,12.517,0.0,2.669,0.0,2.669,0.213,2.498,1.459,1.084,1.0,1.459,1.117,0.948,744.3,1144.9,2677.0,0.253,0.8,417.7,976.7
Shaft 1,12.685,0.0,2.996,0.0,2.996,0.236,2.425,1.427,1.085,1.0,1.427,1.143,0.948,549.0,926.9,2081.6,0.253,0.8,308.1,692.0
Wind Load - 15,,,,,,,,,,,,,,,,,,,,
Name_Enc_Out,At,Af,Ac,Acsup,As,Indice_Cheios,cf0f,cf0c,cf0csup,cfs0,cfs,c0_Vento_For,CsCd,Pressao_troco_medio,FmW,FTW,L_lin_equiv,Ka,FmW_lin,FTW_lin
Shaft 4,5.18,0.0,0.897,0.0,0.897,0.173,2.633,1.522,1.083,2.0,1.522,1.089,0.948,918.1,495.5,1259.5,0.253,0.8,215.8,548.6
Shaft 3,12.369,0.0,2.265,0.0,2.265,0.183,2.599,1.506,1.083,2.0,1.506,1.097,0.948,862.9,1162.5,2874.4,0.253,0.8,484.3,1197.4
Shaft 2,12.517,0.0,2.669,0.0,2.669,0.213,2.498,1.459,1.084,1.0,1.459,1.117,0.948,744.3,1144.9,2677.0,0.253,0.8,417.7,976.7
Shaft 1,12.685,0.0,2.996,0.0,2.996,0.236,2.425,1.427,1.085,1.0,1.427,1.143,0.948,549.0,926.9,2081.6,0.253,0.8,308.1,692.0
Wind Load - 30,,,,,,,,,,,,,,,,,,,,
Name_Enc_Out,At,Af,Ac,Acsup,As,Indice_Cheios,cf0f,cf0c,cf0csup,cfs0,cfs,c0_Vento_For,CsCd,Pressao_troco_medio,FmW,FTW,L_lin_equiv,Ka,FmW_lin,FTW_lin
Shaft 4,5.18,0.0,0.897,0.0,0.897,0.173,2.633,1.522,1.083,2.0,1.522,1.089,0.948,918.1,495.5,1259.5,0.253,0.8,215.8,548.6
Shaft 3,12.369,0.0,2.265,0.0,2.265,0.183,2.599,1.506,1.083,2.0,1.506,1.097,0.948,862.9,1162.5,2874.4,0.253,0.8,484.3,1197.4
Shaft 2,12.517,0.0,2.669,0.0,2.669,0.213,2.498,1.459,1.084,1.0,1.459,1.117,0.948,744.3,1144.9,2677.0,0.253,0.8,417.7,976.7
Shaft 1,12.685,0.0,2.996,0.0,2.996,0.236,2.425,1.427,1.085,1.0,1.427,1.143,0.948,549.0,926.9,2081.6,0.253,0.8,308.1,692.0
Wind Load - 45,,,,,,,,,,,,,,,,,,,,
Name_Enc_Out,At,Af,Ac,Acsup,As,Indice_Cheios,cf0f,cf0c,cf0csup,cfs0,cfs,c0_Vento_For,CsCd,Pressao_troco_medio,FmW,FTW,L_lin_equiv,Ka,FmW_lin,FTW_lin
Shaft 4,5.18,0.0,0.897,0.0,0.897,0.173,2.633,1.522,1.083,2.0,1.522,1.089,0.948,918.1,495.5,1259.5,0.253,0.8,215.8,548.6
Shaft 3,12.369,0.0,2.265,0.0,2.265,0.183,2.599,1.506,1.083,2.0,1.506,1.097,0.948,862.9,1162.5,2874.4,0.253,0.8,484.3,1197.4
Shaft 2,12.517,0.0,2.669,0.0,2.669,0.213,2.498,1.459,1.084,1.0,1.459,1.117,0.948,744.3,1144.9,2677.0,0.253,0.8,417.7,976.7
Shaft 1,12.685,0.0,2.996,0.0,2.996,0.236,2.425,1.427,1.085,1.0,1.427,1.143,0.948,549.0,926.9,2081.6,0.253,0.8,308.1,692.0
Wind Load - 60,,,,,,,,,,,,,,,,,,,,
Name_Enc_Out,At,Af,Ac,Acsup,As,Indice_Cheios,cf0f,cf0c,cf0csup,cfs0,cfs,c0_Vento_For,CsCd,Pressao_troco_medio,FmW,FTW,L_lin_equiv,Ka,FmW_lin,FTW_lin
Shaft 4,5.18,0.0,0.897,0.0,0.897,0.173,2.633,1.522,1.083,2.0,1.522,1.089,0.948,918.1,495.5,1259.5,0.253,0.8,215.8,548.6
Shaft 3,12.369,0.0,2.265,0.0,2.265,0.183,2.599,1.506,1.083,2.0,1.506,1.097,0.948,862.9,1162.5,2874.4,0.253,0.8,484.3,1197.4
Shaft 2,12.517,0.0,2.669,0.0,2.669,0.213,2.498,1.459,1.084,1.0,1.459,1.117,0.948,744.3,1144.9,2677.0,0.253,0.8,417.7,976.7
Shaft 1,12.685,0.0,2.996,0.0,2.996,0.236,2.425,1.427,1.085,1.0,1.427,1.143,0.948,549.0,926.9,2081.6,0.253,0.8,308.1,692.0
Wind Load - 75,,,,,,,,,,,,,,,,,,,,
Name_Enc_Out,At,Af,Ac,Acsup,As,Indice_Cheios,cf0f,cf0c,cf0csup,cfs0,cfs,c0_Vento_For,CsCd,Pressao_troco_medio,FmW,FTW,L_lin_equiv,Ka,FmW_lin,FTW_lin
Shaft 4,5.18,0.0,0.897,0.0,0.897,0.173,2.633,1.522,1.083,2.0,1.522,1.089,0.948,918.1,495.5,1259.5,0.253,0.8,215.8,548.6
Shaft 3,12.369,0.0,2.265,0.0,2.265,0.183,2.599,1.506,1.083,2.0,1.506,1.097,0.948,862.9,1162.5,2874.4,0.253,0.8,484.3,1197.4
Shaft 2,12.517,0.0,2.669,0.0,2.669,0.213,2.498,1.459,1.084,1.0,1.459,1.117,0.948,744.3,1144.9,2677.0,0.253,0.8,417.7,976.7
Shaft 1,12.685,0.0,2.996,0.0,2.996,0.236,2.425,1.427,1.085,1.0,1.427,1.143,0.948,549.0,926.9,2081.6,0.253,0.8,308.1,692.0
Wind Load - 90,,,,,,,,,,,,,,,,,,,,
Name_Enc_Out,At,Af,Ac,Acsup,As,Indice_Cheios,cf0f,cf0c,cf0csup,cfs0,cfs,c0_Vento_For,CsCd,Pressao_troco_medio,FmW,FTW,L_lin_equiv,Ka,FmW_lin,FTW_lin
Shaft 4,5.18,0.0,0.897,0.0,0.897,0.173,2.633,1.522,1.083,2.0,1.522,1.089,0.948,918.1,495.5,1259.5,0.253,0.8,215.8,548.6
Shaft 3,12.369,0.0,2.265,0.0,2.265,0.183,2.599,1.506,1.083,2.0,1.506,1.097,0.948,862.9,1162.5,2874.4,0.253,0.8,484.3,1197.4
Shaft 2,12.517,0.0,2.669,0.0,2.669,0.213,2.498,1.459,1.084,1.0,1.459,1.117,0.948,744.3,1144.9,2677.0,0.253,0.8,417.7,976.7
Shaft 1,12.685,0.0,2.996,0.0,2.996,0.236,2.425,1.427,1.085,1.0,1.427,1.143,0.948,549.0,926.9,2081.6,0.253,0.8,308.1,692.0
Wind Load - 105,,,,,,,,,,,,,,,,,,,,
Name_Enc_Out,At,Af,Ac,Acsup,As,Indice_Cheios,cf0f,cf0c,cf0csup,cfs0,cfs,c0_Vento_For,CsCd,Pressao_troco_medio,FmW,FTW,L_lin_equiv,Ka,FmW_lin,FTW_lin
Shaft 4,5.18,0.0,0.897,0.0,0.897,0.173,2.633,1.522,1.083,2.0,1.522,1.089,0.948,918.1,495.5,1259.5,0.253,0.8,215.8,548.6
Shaft 3,12.369,0.0,2.265,0.0,2.265,0.183,2.599,1.506,1.083,2.0,1.506,1.097,0.948,862.9,1162.5,2874.4,0.253,0.8,484.3,1197.4
Shaft 2,12.517,0.0,2.669,0.0,2.669,0.213,2.498,1.459,1.084,1.0,1.459,1.117,0.948,744.3,1144.9,2677.0,0.253,0.8,417.7,976.7
Shaft 1,12.685,0.0,2.996,0.0,2.996,0.236,2.425,1.427,1.085,1.0,1.427,1.143,0.948,549.0,926.9,2081.6,0.253,0.8,308.1,692.0
Wind Load - 120,,,,,,,,,,,,,,,,,,,,
Name_Enc_Out,At,Af,Ac,Acsup,As,Indice_Cheios,cf0f,cf0c,cf0csup,cfs0,cfs,c0_Vento_For,CsCd,Pressao_troco_medio,FmW,FTW,L_lin_equiv,Ka,FmW_lin,FTW_lin
Shaft 4,5.18,0.0,0.897,0.0,0.897,0.173,2.633,1.522,1.083,2.0,1.522,1.089,0.948,918.1,495.5,1259.5,0.253,0.8,215.8,548.6
Shaft 3,12.369,0.0,2.265,0.0,2.265,0.183,2.599,1.506,1.083,2.0,1.506,1.097,0.948,862.9,1162.5,2874.4,0.253,0.8,484.3,1197.4
Shaft 2,12.517,0.0,2.669,0.0,2.669,0.213,2.498,1.459,1.084,1.0,1.459,1.117,0.948,744.3,1144.9,2677.0,0.253,0.8,417.7,976.7
Shaft 1,12.685,0.0,2.996,0.0,2.996,0.236,2.425,1.427,1.085,1.0,1.427,1.143,0.948,549.0,926.9,2081.6,0.253,0.8,308.1,692.0
Wind Load - 135,,,,,,,,,,,,,,,,,,,,
Name_Enc_Out,At,Af,Ac,Acsup,As,Indice_Cheios,cf0f,cf0c,cf0csup,cfs0,cfs,c0_Vento_For,CsCd,Pressao_troco_medio,FmW,FTW,L_lin_equiv,Ka,FmW_lin,FTW_lin
Shaft 4,5.18,0.0,0.897,0.0,0.897,0.173,2.633,1.522,1.083,2.0,1.522,1.089,0.948,918.1,495.5,1259.5,0.253,0.8,215.8,548.6
Shaft 3,12.369,0.0,2.265,0.0,2.265,0.183,2.599,1.506,1.083,2.0,1.506,1.097,0.948,862.9,1162.5,2874.4,0.253,0.8,484.3,1197.4
Shaft 2,12.517,0.0,2.669,0.0,2.669,0.213,2.498,1.459,1.084,1.0,1.459,1.117,0.948,744.3,1144.9,2677.0,0.253,0.8,417.7,976.7
Shaft 1,12.685,0.0,2.996,0.0,2.996,0.236,2.425,1.427,1.085,1.0,1.427,1.143,0.948,549.0,926.9,2081.6,0.253,0.8,308.1,692.0
Wind Load - 150,,,,,,,,,,,,,,,,,,,,
Name_Enc_Out,At,Af,Ac,Acsup,As,Indice_Cheios,cf0f,cf0c,cf0csup,cfs0,cfs,c0_Vento_For,CsCd,Pressao_troco_medio,FmW,FTW,L_lin_equiv,Ka,FmW_lin,FTW_lin
Shaft 4,5.18,0.0,0.897,0.0,0.897,0.173,2.633,1.522,1.083,2.0,1.522,1.089,0.948,918.1,495.5,1259.5,0.253,0.8,215.8,548.6
Shaft 3,12.369,0.0,2.265,0.0,2.265,0.183,2.599,1.506,1.083,2.0,1.506,1.097,0.948,862.9,1162.5,2874.4,0.253,0.8,484.3,1197.4
Shaft 2,12.517,0.0,2.669,0.0,2.669,0.213,2.498,1.459,1.084,1.0,1.459,1.117,0.948,744.3,1144.9,2677.0,0.253,0.8,417.7,976.7
Shaft 1,12.685,0.0,2.996,0.0,2.996,0.236,2.425,1.427,1.085,1.0,1.427,1.143,0.948,549.0,926.9,2081.6,0.253,0.8,308.1,692.0
Wind Load - 165,,,,,,,,,,,,,,,,,,,,
