Expanded Results,,,,,,,,,,,,,,,,,,,,
Wind Load - 0,,,,,,,,,,,,,,,,,,,,
Name_Enc_Out,At,Af,Ac,Acsup,As,Indice_Cheios,cf0f,cf0c,cf0csup,cfs0,cfs,c0_Vento_For,CsCd,Pressao_troco_medio,FmW,FTW,L_lin_equiv,Ka,FmW_lin,FTW_lin
Shaft 19,0.116,0.049,0.0,0.0,0.049,0.423,2.156,1.382,1.284,2.0,2.156,1.0,1.186,969.7,33.6,139.4,0.1,0.8,6.7,27.8
Shaft 18,0.116,0.031,0.0,0.0,0.031,0.265,2.663,1.575,1.294,3.0,2.663,1.0,1.186,964.7,25.9,107.0,0.1,0.8,6.7,27.6
Shaft 17,1.162,0.527,0.0,0.0,0.527,0.453,2.081,1.362,1.287,2.0,2.081,1.0,1.186,936.1,335.8,1382.2,0.1,0.8,64.7,266.4
Shaft 16,0.116,0.049,0.0,0.0,0.049,0.423,2.156,1.382,1.284,2.0,2.156,1.0,1.186,905.2,31.4,124.9,0.1,0.8,6.3,24.9
Shaft 15,0.116,0.031,0.0,0.0,0.031,0.265,2.663,1.575,1.294,3.0,2.663,1.0,1.186,899.3,24.1,95.8,0.1,0.8,6.2,24.7
Shaft 14,1.162,0.527,0.0,0.0,0.527,0.453,2.081,1.362,1.287,2.0,2.081,1.0,1.186,865.1,310.3,1227.0,0.1,0.8,59.8,236.5
Shaft 13,0.116,0.049,0.0,0.0,0.049,0.423,2.156,1.382,1.284,2.0,2.156,1.0,1.186,827.5,28.7,110.3,0.1,0.8,5.7,22.0
Shaft 12,0.116,0.031,0.0,0.0,0.031,0.265,2.663,1.575,1.294,3.0,2.663,1.0,1.186,820.2,22.0,84.4,0.1,0.8,5.7,21.7
Shaft 11,1.162,0.527,0.0,0.0,0.527,0.453,2.081,1.362,1.287,2.0,2.081,1.0,1.186,777.4,278.9,1066.4,0.1,0.8,53.7,205.5
Shaft 10,0.116,0.049,0.0,0.0,0.049,0.423,2.156,1.382,1.284,2.0,2.156,1.0,1.186,767.6,26.6,99.5,0.1,0.8,5.3,19.8
Shaft 9,0.116,0.031,0.0,0.0,0.031,0.265,2.663,1.575,1.294,3.0,2.663,1.0,1.186,767.6,20.6,76.9,0.1,0.8,5.3,19.8
Shaft 8,1.162,0.527,0.0,0.0,0.527,0.453,2.081,1.362,1.287,2.0,2.081,1.0,1.186,767.6,275.3,1025.9,0.1,0.8,53.1,197.7
Shaft 7,0.116,0.049,0.0,0.0,0.049,0.423,2.156,1.382,1.284,2.0,2.156,1.0,1.186,767.6,26.6,97.6,0.1,0.8,5.3,19.5
Shaft 6,0.116,0.031,0.0,0.0,0.031,0.265,2.663,1.575,1.294,3.0,2.663,1.0,1.186,767.6,20.6,75.5,0.1,0.8,5.3,19.4
Shaft 5,1.162,0.527,0.0,0.0,0.527,0.453,2.081,1.362,1.287,2.0,2.081,1.0,1.186,767.6,275.3,1007.8,0.1,0.8,53.1,194.2
Shaft 4,0.116,0.049,0.0,0.0,0.049,0.423,2.156,1.382,1.284,2.0,2.156,1.0,1.186,767.6,26.6,96.6,0.1,0.8,5.3,19.3
Shaft 3,0.116,0.031,0.0,0.0,0.031,0.265,2.663,1.575,1.294,3.0,2.663,1.0,1.186,767.6,20.6,74.8,0.1,0.8,5.3,19.3
Shaft 2,0.697,0.316,0.0,0.0,0.316,0.453,2.081,1.362,1.287,2.0,2.081,1.0,1.186,767.6,165.2,599.1,0.1,0.8,31.8,115.5
Shaft 1,0.063,0.054,0.0,0.0,0.054,0.853,1.775,1.645,1.5,2.0,1.775,1.0,1.186,767.6,24.1,87.3,0.1,0.8,2.9,10.5
Wind Load - 15,,,,,,,,,,,,,,,,,,,,
