Expanded Results,,,,,,,,,,,,,,,,,,,,
Wind Load - 0,,,,,,,,,,,,,,,,,,,,
Name_Enc_Out,At,Af,Ac,Acsup,As,Indice_Cheios,cf0f,cf0c,cf0csup,cfs0,cfs,c0_Vento_For,CsCd,Pressao_troco_medio,FmW,FTW,L_lin_equiv,Ka,FmW_lin,FTW_lin
Shaft 9,5.3,1.143,0.0,0.0,1.143,0.216,2.863,1.667,1.305,3.0,2.863,1.0,0.941,1485.5,2279.9,5036.4,0.161,0.8,537.0,1186.3
Shaft 8,5.3,1.143,0.0,0.0,1.143,0.216,2.863,1.667,1.305,3.0,2.863,1.0,0.941,1438.5,2207.8,4773.5,0.17,0.8,550.4,1190.1
Shaft 7,4.32,1.075,0.0,0.0,1.075,0.249,2.727,1.604,1.297,3.0,2.727,1.0,0.941,1390.4,1910.8,4053.7,0.17,0.8,425.6,902.9
Shaft 6,4.252,1.079,0.0,0.0,1.079,0.254,2.708,1.595,1.296,3.0,2.708,1.0,0.941,1344.0,1840.8,3853.4,0.17,0.8,370.6,775.7
Shaft 5,5.086,1.092,0.0,0.0,1.092,0.215,2.867,1.669,1.306,3.0,2.867,1.0,0.941,1291.1,1896.0,3927.3,0.17,0.8,389.6,807.0
Shaft 4,6.358,1.347,0.0,0.0,1.347,0.212,2.879,1.675,1.307,3.0,2.879,1.0,0.941,1216.5,2212.9,4538.9,0.17,0.8,458.9,941.2
Shaft 3,6.506,1.643,0.0,0.0,1.643,0.253,2.712,1.597,1.296,3.0,2.712,1.0,0.941,1108.3,2316.4,4705.1,0.17,0.8,418.1,849.2
Shaft 2,6.506,1.721,0.0,0.0,1.721,0.264,2.666,1.576,1.294,3.0,2.666,1.0,0.941,946.2,2035.5,4106.3,0.17,0.8,356.9,720.0
Shaft 1,5.323,1.628,0.0,0.0,1.628,0.306,2.514,1.51,1.287,3.0,2.514,1.0,0.941,648.5,1244.4,2500.5,0.17,0.8,195.7,393.2
Wind Load - 15,,,,,,,,,,,,,,,,,,,,
Name_Enc_Out,At,Af,Ac,Acsup,As,Indice_Cheios,cf0f,cf0c,cf0csup,cfs0,cfs,c0_Vento_For,CsCd,Pressao_troco_medio,FmW,FTW,L_lin_equiv,Ka,FmW_lin,FTW_lin
