Bars

Member,Profile,Steel,Slenderness,NtRd,NbRd,Ned,Ratio,Result
Leg - Shaft 9,Ø 114.3x6.3,S355,50.9,758.8,566.0,39.4,0.07,OK
Leg - Shaft 8,Ø 114.3x6.3,S355,34.6,758.8,659.4,134.2,0.2,OK
Leg - Shaft 7,Ø 139.7x8.0,S355,41.8,1175.0,959.6,243.9,0.25,OK
Leg - Shaft 6,Ø 139.7x8.0,S355,41.8,1175.0,959.6,337.1,0.35,OK
Leg - Shaft 5,Ø 139.7x8.0,S355,41.8,1175.0,959.6,421.7,0.44,OK
Leg - Shaft 4,Ø 193.7x8.0,S355,29.6,1656.8,1497.3,504.7,0.34,OK
Leg - Shaft 3,Ø 193.7x8.0,S355,29.6,1656.8,1497.3,588.7,0.39,OK
Leg - Shaft 2,Ø 193.7x8.0,S355,29.6,1656.8,1497.3,672.1,0.45,OK
Leg - Shaft 1,Ø 219.1x10.0,S355,26.3,2332.0,2160.3,729.5,0.34,OK
Diagonal Bar - Shaft 9,Ø 76.1x5.0,S275,70.0,307.1,202.2,23.0,0.11,OK
Diagonal Bar - Shaft 8,Ø 76.1x5.0,S275,57.7,307.1,229.3,32.1,0.14,OK
Diagonal Bar - Shaft 7,Ø 76.1x5.0,S275,78.5,307.1,183.4,26.5,0.14,OK
Diagonal Bar - Shaft 6,Ø 76.1x5.0,S275,89.9,307.1,159.5,26.4,0.17,OK
Diagonal Bar - Shaft 5,Ø 76.1x5.0,S275,102.3,307.1,136.4,27.7,0.2,OK
Diagonal Bar - Shaft 4,Ø 88.9x5.0,S275,97.8,362.4,170.6,31.2,0.18,OK
Diagonal Bar - Shaft 3,Ø 88.9x5.0,S275,109.1,362.4,147.7,34.8,0.24,OK
Diagonal Bar - Shaft 2,Ø 88.9x5.0,S275,120.8,362.4,127.7,36.1,0.28,OK
Diagonal Bar - Shaft 1,Ø 88.9x5.0,S355,78.1,467.9,246.6,38.2,0.15,OK
Horizontal Bar - Shaft 9,Ø 76.1x5.0,S275,44.4,307.1,256.8,10.8,0.04,OK
Horizontal Bar - Shaft 8,Ø 76.1x5.0,S275,44.4,307.1,256.8,23.1,0.09,OK
Horizontal Bar - Shaft 7,Ø 76.1x5.0,S275,44.4,307.1,256.8,22.3,0.09,OK
Horizontal Bar - Shaft 6,Ø 76.1x5.0,S275,69.4,307.1,203.5,20.7,0.1,OK
Horizontal Bar - Shaft 5,Ø 76.1x5.0,S275,84.4,307.1,170.9,23.1,0.14,OK
Horizontal Bar - Shaft 4,Ø 88.9x5.0,S275,84.2,362.4,202.0,26.9,0.13,OK
Horizontal Bar - Shaft 3,Ø 88.9x5.0,S275,96.9,362.4,172.4,30.9,0.18,OK
Horizontal Bar - Shaft 2,Ø 88.9x5.0,S275,109.6,362.4,146.7,33.4,0.23,OK
Horizontal Bar - Shaft 1,Ø 88.9x5.0,S355,56.9,467.9,325.9,36.5,0.11,OK

