Expanded Results,,,,,,,,,,,,,,,,,,,,
Wind Load - 0,,,,,,,,,,,,,,,,,,,,
Name_Enc_Out,At,Af,Ac,Acsup,As,Indice_Cheios,cf0f,cf0c,cf0csup,cfs0,cfs,c0_Vento_For,CsCd,Pressao_troco_medio,FmW,FTW,L_lin_equiv,Ka,FmW_lin,FTW_lin
Shaft 9,5.3,1.143,0.0,0.0,1.143,0.216,2.863,1.667,1.305,3.0,2.863,1.0,1.257,1485.5,2279.9,6876.9,0.161,0.8,537.0,1619.9
Shaft 8,5.3,1.143,0.0,0.0,1.143,0.216,2.863,1.667,1.305,3.0,2.863,1.0,1.257,1438.5,2207.8,6486.7,0.17,0.8,550.4,1617.2
Shaft 7,4.32,1.075,0.0,0.0,1.075,0.249,2.727,1.604,1.297,3.0,2.727,1.0,1.257,1390.4,1910.8,5484.5,0.17,0.8,425.6,1221.6
Shaft 6,4.252,1.079,0.0,0.0,1.079,0.254,2.708,1.595,1.296,3.0,2.708,1.0,1.257,1344.0,1840.8,5197.2,0.17,0.8,370.6,1046.3
Shaft 5,5.086,1.092,0.0,0.0,1.092,0.215,2.867,1.669,1.306,3.0,2.867,1.0,1.257,1291.1,1896.0,5283.7,0.17,0.8,389.6,1085.7
Shaft 4,6.358,1.347,0.0,0.0,1.347,0.212,2.879,1.675,1.307,3.0,2.879,1.0,1.257,1216.5,2212.9,6092.0,0.17,0.8,458.9,1263.2
Shaft 3,6.506,1.643,0.0,0.0,1.643,0.253,2.712,1.597,1.296,3.0,2.712,1.0,1.257,1108.3,2316.4,6300.0,0.17,0.8,418.1,1137.0
Shaft 2,6.506,1.721,0.0,0.0,1.721,0.264,2.666,1.576,1.294,3.0,2.666,1.0,1.257,946.2,2035.5,5489.0,0.17,0.8,356.9,962.4
Shaft 1,5.323,1.628,0.0,0.0,1.628,0.306,2.514,1.51,1.287,3.0,2.514,1.0,1.257,648.5,1244.4,3339.3,0.17,0.8,195.7,525.2
Wind Load - 15,,,,,,,,,,,,,,,,,,,,
Name_Enc_Out,At,Af,Ac,Acsup,As,Indice_Cheios,cf0f,cf0c,cf0csup,cfs0,cfs,c0_Vento_For,CsCd,Pressao_troco_medio,FmW,FTW,L_lin_equiv,Ka,FmW_lin,FTW_lin
Shaft 9,5.3,1.143,0.0,0.0,1.143,0.216,2.863,1.667,1.305,3.0,2.948,1.0,1.257,1485.5,2347.5,7080.9,0.161,0.8,537.0,1619.9
Shaft 8,5.3,1.143,0.0,0.0,1.143,0.216,2.863,1.667,1.305,3.0,2.948,1.0,1.257,1438.5,2273.3,6679.1,0.17,0.8,550.4,1617.2
Shaft 7,4.32,1.075,0.0,0.0,1.075,0.249,2.727,1.604,1.297,3.0,2.821,1.0,1.257,1390.4,1976.2,5672.1,0.17,0.8,425.6,1221.6
Shaft 6,4.252,1.079,0.0,0.0,1.079,0.254,2.708,1.595,1.296,3.0,2.802,1.0,1.257,1344.0,1905.0,5378.5,0.17,0.8,370.6,1046.3
Shaft 5,5.086,1.092,0.0,0.0,1.092,0.215,2.867,1.669,1.306,3.0,2.952,1.0,1.257,1291.1,1951.9,5439.7,0.17,0.8,389.6,1085.7
Shaft 4,6.358,1.347,0.0,0.0,1.347,0.212,2.879,1.675,1.307,3.0,2.963,1.0,1.257,1216.5,2277.4,6269.5,0.17,0.8,458.9,1263.2
Shaft 3,6.506,1.643,0.0,0.0,1.643,0.253,2.712,1.597,1.296,3.0,2.807,1.0,1.257,1108.3,2396.8,6518.8,0.17,0.8,418.1,1137.0
Shaft 2,6.506,1.721,0.0,0.0,1.721,0.264,2.666,1.576,1.294,3.0,2.763,1.0,1.257,946.2,2109.5,5688.6,0.17,0.8,356.9,962.4
Shaft 1,5.323,1.628,0.0,0.0,1.628,0.306,2.514,1.51,1.287,3.0,2.62,1.0,1.257,648.5,1296.7,3479.7,0.17,0.8,195.7,525.2
Wind Load - 30,,,,,,,,,,,,,,,,,,,,
Name_Enc_Out,At,Af,Ac,Acsup,As,Indice_Cheios,cf0f,cf0c,cf0csup,cfs0,cfs,c0_Vento_For,CsCd,Pressao_troco_medio,FmW,FTW,L_lin_equiv,Ka,FmW_lin,FTW_lin
Shaft 9,5.3,1.143,0.0,0.0,1.143,0.216,2.863,1.667,1.305,3.0,3.118,1.0,1.257,1485.5,2482.7,7488.8,0.161,0.8,537.0,1619.9
Shaft 8,5.3,1.143,0.0,0.0,1.143,0.216,2.863,1.667,1.305,3.0,3.118,1.0,1.257,1438.5,2404.2,7063.9,0.17,0.8,550.4,1617.2
Shaft 7,4.32,1.075,0.0,0.0,1.075,0.249,2.727,1.604,1.297,3.0,3.007,1.0,1.257,1390.4,2106.9,6047.2,0.17,0.8,425.6,1221.6
Shaft 6,4.252,1.079,0.0,0.0,1.079,0.254,2.708,1.595,1.296,3.0,2.991,1.0,1.257,1344.0,2033.5,5741.2,0.17,0.8,370.6,1046.3
Shaft 5,5.086,1.092,0.0,0.0,1.092,0.215,2.867,1.669,1.306,3.0,3.121,1.0,1.257,1291.1,2063.9,5751.7,0.17,0.8,389.6,1085.7
Shaft 4,6.358,1.347,0.0,0.0,1.347,0.212,2.879,1.675,1.307,3.0,3.131,1.0,1.257,1216.5,2406.3,6624.6,0.17,0.8,458.9,1263.2
Shaft 3,6.506,1.643,0.0,0.0,1.643,0.253,2.712,1.597,1.296,3.0,2.995,1.0,1.257,1108.3,2557.7,6956.4,0.17,0.8,418.1,1137.0
Shaft 2,6.506,1.721,0.0,0.0,1.721,0.264,2.666,1.576,1.294,3.0,2.957,1.0,1.257,946.2,2257.6,6087.8,0.17,0.8,356.9,962.4
Shaft 1,5.323,1.628,0.0,0.0,1.628,0.306,2.514,1.51,1.287,3.0,2.831,1.0,1.257,648.5,1401.3,3760.5,0.17,0.8,195.7,525.2
Wind Load - 45,,,,,,,,,,,,,,,,,,,,
Name_Enc_Out,At,Af,Ac,Acsup,As,Indice_Cheios,cf0f,cf0c,cf0csup,cfs0,cfs,c0_Vento_For,CsCd,Pressao_troco_medio,FmW,FTW,L_lin_equiv,Ka,FmW_lin,FTW_lin
Shaft 9,5.3,1.143,0.0,0.0,1.143,0.216,2.863,1.667,1.305,3.0,3.203,1.0,1.257,1485.5,2550.3,7692.8,0.161,0.8,537.0,1619.9
Shaft 8,5.3,1.143,0.0,0.0,1.143,0.216,2.863,1.667,1.305,3.0,3.203,1.0,1.257,1438.5,2469.7,7256.3,0.17,0.8,550.4,1617.2
Shaft 7,4.32,1.075,0.0,0.0,1.075,0.249,2.727,1.604,1.297,3.0,3.101,1.0,1.257,1390.4,2172.3,6234.8,0.17,0.8,425.6,1221.6
Shaft 6,4.252,1.079,0.0,0.0,1.079,0.254,2.708,1.595,1.296,3.0,3.086,1.0,1.257,1344.0,2097.7,5922.5,0.17,0.8,370.6,1046.3
Shaft 5,5.086,1.092,0.0,0.0,1.092,0.215,2.867,1.669,1.306,3.0,3.206,1.0,1.257,1291.1,2119.9,5907.7,0.17,0.8,389.6,1085.7
Shaft 4,6.358,1.347,0.0,0.0,1.347,0.212,2.879,1.675,1.307,3.0,3.215,1.0,1.257,1216.5,2470.8,6802.1,0.17,0.8,458.9,1263.2
Shaft 3,6.506,1.643,0.0,0.0,1.643,0.253,2.712,1.597,1.296,3.0,3.089,1.0,1.257,1108.3,2638.2,7175.1,0.17,0.8,418.1,1137.0
Shaft 2,6.506,1.721,0.0,0.0,1.721,0.264,2.666,1.576,1.294,3.0,3.054,1.0,1.257,946.2,2331.6,6287.4,0.17,0.8,356.9,962.4
