Expanded Results,,,,,,,,,,,,,,,,,,,,
Wind Load - 0,,,,,,,,,,,,,,,,,,,,
Name_Enc_Out,At,Af,Ac,Acsup,As,Indice_Cheios,cf0f,cf0c,cf0csup,cfs0,cfs,c0_Vento_For,CsCd,Pressao_troco_medio,FmW,FTW,L_lin_equiv,Ka,FmW_lin,FTW_lin
Shaft 4,5.18,0.0,0.897,0.0,0.897,0.173,2.633,1.522,1.083,2.0,1.522,1.089,0.913,801.7,310.8,1069.7,0.523,1.0,349.5,1202.8
Shaft 3,12.369,0.0,2.265,0.0,2.265,0.183,2.599,1.506,1.083,2.0,1.506,1.097,0.913,725.5,702.2,2339.5,0.522,1.0,755.2,2515.9
Shaft 2,12.517,0.0,2.669,0.0,2.669,0.213,2.498,1.459,1.084,1.0,1.459,1.117,0.913,568.5,628.3,1959.4,0.522,1.0,591.8,1845.5
Shaft 1,12.685,0.0,3.004,0.0,3.004,0.237,2.423,1.426,1.085,1.0,1.426,1.143,0.913,251.0,305.0,906.7,0.522,1.0,261.3,776.5
Wind Load - 15,,,,,,,,,,,,,,,,,,,,
Name_Enc_Out,At,Af,Ac,Acsup,As,Indice_Cheios,cf0f,cf0c,cf0csup,cfs0,cfs,c0_Vento_For,CsCd,Pressao_troco_medio,FmW,FTW,L_lin_equiv,Ka,FmW_lin,FTW_lin
Shaft 4,5.18,0.0,0.897,0.0,0.897,0.173,2.633,1.522,1.083,2.0,1.522,1.089,0.913,801.7,310.8,1069.7,0.523,1.0,349.5,1202.8
Shaft 3,12.369,0.0,2.265,0.0,2.265,0.183,2.599,1.506,1.083,2.0,1.506,1.097,0.913,725.5,702.2,2339.5,0.522,1.0,755.2,2515.9
Shaft 2,12.517,0.0,2.669,0.0,2.669,0.213,2.498,1.459,1.084,1.0,1.459,1.117,0.913,568.5,628.3,1959.4,0.522,1.0,591.8,1845.5
Shaft 1,12.685,0.0,3.004,0.0,3.004,0.237,2.423,1.426,1.085,1.0,1.426,1.143,0.913,251.0,305.0,906.7,0.522,1.0,261.3,776.5
Wind Load - 30,,,,,,,,,,,,,,,,,,,,
Name_Enc_Out,At,Af,Ac,Acsup,As,Indice_Cheios,cf0f,cf0c,cf0csup,cfs0,cfs,c0_Vento_For,CsCd,Pressao_troco_medio,FmW,FTW,L_lin_equiv,Ka,FmW_lin,FTW_lin
Shaft 4,5.18,0.0,0.897,0.0,0.897,0.173,2.633,1.522,1.083,2.0,1.522,1.089,0.913,801.7,310.8,1069.7,0.523,1.0,349.5,1202.8
Shaft 3,12.369,0.0,2.265,0.0,2.265,0.183,2.599,1.506,1.083,2.0,1.506,1.097,0.913,725.5,702.2,2339.5,0.522,1.0,755.2,2515.9
Shaft 2,12.517,0.0,2.669,0.0,2.669,0.213,2.498,1.459,1.084,1.0,1.459,1.117,0.913,568.5,628.3,1959.4,0.522,1.0,591.8,1845.5
