Expanded Results,,,,,,,,,,,,,,,,,,,,
Wind Load - 0,,,,,,,,,,,,,,,,,,,,
Name_Enc_Out,At,Af,Ac,Acsup,As,Indice_Cheios,cf0f,cf0c,cf0csup,cfs0,cfs,c0_Vento_For,CsCd,Pressao_troco_medio,FmW,FTW,L_lin_equiv,Ka,FmW_lin,FTW_lin
Shaft 4,5.18,0.0,0.897,0.0,0.897,0.173,2.633,1.522,1.083,2.0,1.522,1.089,0.974,1292.4,764.4,1818.1,0.523,1.0,859.5,2044.3
Shaft 3,12.369,0.0,2.265,0.0,2.265,0.183,2.599,1.506,1.083,2.0,1.506,1.097,0.974,1226.2,1810.6,4194.2,0.522,1.0,1947.2,4510.5
Shaft 2,12.517,0.0,2.124,0.545,2.669,0.213,2.498,1.459,1.084,1.0,1.382,1.117,0.974,1081.9,1728.1,3795.3,0.522,1.0,1717.9,3772.8
Shaft 1,12.685,0.0,1.691,1.313,3.004,0.237,2.423,1.426,1.085,1.0,1.277,1.143,0.974,756.8,1256.5,2655.6,0.522,1.0,1201.7,2539.9
Wind Load - 15,,,,,,,,,,,,,,,,,,,,
Name_Enc_Out,At,Af,Ac,Acsup,As,Indice_Cheios,cf0f,cf0c,cf0csup,cfs0,cfs,c0_Vento_For,CsCd,Pressao_troco_medio,FmW,FTW,L_lin_equiv,Ka,FmW_lin,FTW_lin
Shaft 4,5.18,0.0,0.897,0.0,0.897,0.173,2.633,1.522,1.083,2.0,1.522,1.089,0.974,1292.4,764.4,1818.1,0.523,1.0,859.5,2044.3
Shaft 3,12.369,0.0,2.265,0.0,2.265,0.183,2.599,1.506,1.083,2.0,1.506,1.097,0.974,1226.2,1810.6,4194.2,0.522,1.0,1947.2,4510.5
Shaft 2,12.517,0.0,2.124,0.545,2.669,0.213,2.498,1.459,1.084,1.0,1.382,1.117,0.974,1081.9,1728.1,3795.3,0.522,1.0,1717.9,3772.8
Shaft 1,12.685,0.0,1.691,1.313,3.004,0.237,2.423,1.426,1.085,1.0,1.277,1.143,0.974,756.8,1256.5,2655.6,0.522,1.0,1201.7,2539.9
Wind Load - 30,,,,,,,,,,,,,,,,,,,,
Name_Enc_Out,At,Af,Ac,Acsup,As,Indice_Cheios,cf0f,cf0c,cf0csup,cfs0,cfs,c0_Vento_For,CsCd,Pressao_troco_medio,FmW,FTW,L_lin_equiv,Ka,FmW_lin,FTW_lin
Shaft 4,5.18,0.0,0.897,0.0,0.897,0.173,2.633,1.522,1.083,2.0,1.522,1.089,0.974,1292.4,764.4,1818.1,0.523,1.0,859.5,2044.3
Shaft 3,12.369,0.0,2.265,0.0,2.265,0.183,2.599,1.506,1.083,2.0,1.506,1.097,0.974,1226.2,1810.6,4194.2,0.522,1.0,1947.2,4510.5
Shaft 2,12.517,0.0,2.124,0.545,2.669,0.213,2.498,1.459,1.084,1.0,1.382,1.117,0.974,1081.9,1728.1,3795.3,0.522,1.0,1717.9,3772.8
Shaft 1,12.685,0.0,1.691,1.313,3.004,0.237,2.423,1.426,1.085,1.0,1.277,1.143,0.974,756.8,1256.5,2655.6,0.522,1.0,1201.7,2539.9
Wind Load - 45,,,,,,,,,,,,,,,,,,,,
Name_Enc_Out,At,Af,Ac,Acsup,As,Indice_Cheios,cf0f,cf0c,cf0csup,cfs0,cfs,c0_Vento_For,CsCd,Pressao_troco_medio,FmW,FTW,L_lin_equiv,Ka,FmW_lin,FTW_lin
Shaft 4,5.18,0.0,0.897,0.0,0.897,0.173,2.633,1.522,1.083,2.0,1.522,1.089,0.974,1292.4,764.4,1818.1,0.523,1.0,859.5,2044.3
Shaft 3,12.369,0.0,2.265,0.0,2.265,0.183,2.599,1.506,1.083,2.0,1.506,1.097,0.974,1226.2,1810.6,4194.2,0.522,1.0,1947.2,4510.5
Shaft 2,12.517,0.0,2.124,0.545,2.669,0.213,2.498,1.459,1.084,1.0,1.382,1.117,0.974,1081.9,1728.1,3795.3,0.522,1.0,1717.9,3772.8
Shaft 1,12.685,0.0,1.691,1.313,3.004,0.237,2.423,1.426,1.085,1.0,1.277,1.143,0.974,756.8,1256.5,2655.6,0.522,1.0,1201.7,2539.9
Wind Load - 60,,,,,,,,,,,,,,,,,,,,
Name_Enc_Out,At,Af,Ac,Acsup,As,Indice_Cheios,cf0f,cf0c,cf0csup,cfs0,cfs,c0_Vento_For,CsCd,Pressao_troco_medio,FmW,FTW,L_lin_equiv,Ka,FmW_lin,FTW_lin
Shaft 4,5.18,0.0,0.897,0.0,0.897,0.173,2.633,1.522,1.083,2.0,1.522,1.089,0.974,1292.4,764.4,1818.1,0.523,1.0,859.5,2044.3
Shaft 3,12.369,0.0,2.265,0.0,2.265,0.183,2.599,1.506,1.083,2.0,1.506,1.097,0.974,1226.2,1810.6,4194.2,0.522,1.0,1947.2,4510.5
Shaft 2,12.517,0.0,2.124,0.545,2.669,0.213,2.498,1.459,1.084,1.0,1.382,1.117,0.974,1081.9,1728.1,3795.3,0.522,1.0,1717.9,3772.8
