Bars

Member,Profile,Steel,Slenderness,NtRd,NbRd,Ned,Ratio,Result
Leg - Shaft 3,Ø 138x1,S235,41.3,101.1,88.6,21.6,0.24,OK
Leg - Shaft 2,Ø 114.3x4.0,S235,51.3,325.7,266.1,66.7,0.25,OK
Leg - Shaft 1,Ø 139.7x4.0,S235,42.0,400.7,349.6,103.7,0.3,OK
Diagonal Bar - Shaft 3,L40x40x3,S275,69.7,84.7,55.1,7.4,0.13,OK
Diagonal Bar - Shaft 2,L40x40x4,S355,190.0,109.3,15.4,11.3,0.74,OK
Diagonal Bar - Shaft 1,Ø 21.3x3.2,S275,243.2,50.0,5.4,6.4,1.18,KO
Horizontal Bar - Shaft 3,L30x30x3,S235,95.6,62.7,36.8,1.6,0.04,OK
Horizontal Bar - Shaft 2,L48x48x8,S235,118.4,174.1,77.7,2.9,0.04,OK
Horizontal Bar - Shaft 1,Ø 26.9x2.6,S235,297.1,46.6,4.0,1.3,0.31,OK

Connections

Member,Plate thickness,e1,e2,p1,p2,Steel Plate,Number of bolts,Bolts Size,Bolts steel,Ned,NRd,Ratio,Result
Diagonal Bar - Shaft 3,4.0,30.0,30.0,0.0,0.0,S275,1,8.8,M16,7.4,30.6,0.24,OK
Diagonal Bar - Shaft 2,0.0,0.0,0.0,0.0,0.0,S0,0,0,0,11.3,0.0,0.0,OK
Diagonal Bar - Shaft 1,0.0,0.0,0.0,0.0,0.0,S0,0,0,0,6.4,0.0,0.0,OK
Horizontal Bar - Shaft 3,0.0,0.0,0.0,0.0,0.0,S0,0,0,0,0.4,0.0,0.0,OK
Horizontal Bar - Shaft 2,0.0,0.0,0.0,0.0,0.0,S0,0,0,0,2.6,0.0,0.0,OK
Horizontal Bar - Shaft 1,0.0,0.0,0.0,0.0,0.0,S0,0,0,0,0.7,0.0,0.0,OK

Shaft connections - Bolted 

Member,Plate thickness,e1,e2,p1,p2,Number of plates,Steel Plate,Number of bolts,Bolts Size,Bolts steel,NRd,Ned,Ratio,Result

Shaft connections - Flanged

Member,Flange Diameter,Flange thickness,Flange Steel,Bolts Inscription,Number of bolts,Bolts Diameter,Bolts steel,Ned,Nrd,Ratio,Result
Leg - Shaft 3,11.0,22.0,S275,231.0,33.0,M16,4.8,nan,16.5,nan,OK
Leg - Shaft 2,11.0,22.0,S275,231.0,33.0,M16,4.8,nan,56.8,nan,OK
Leg - Shaft 1,11.0,22.0,S275,231.0,33.0,M16,4.8,nan,56.8,nan,OK

Tilt

Case,Degree,Minute,Distance
SLS - Top,0.049,2.957,11.42
SLS - 2/3,0.067,3.993,10.266
ULS - Top,0.079,4.731,18.272
ULS - 2/3,0.067,3.993,10.266
SLS - 100 km/h,0.019,1.143,4.414
ULS - 100 km/h,0.03,1.829,7.063
SLS - 120 km/h,0.027,1.646,6.357
ULS - 120 km/h,0.044,2.633,10.171

Basal Efforts

Case,Ned,Ted,Med
SLS,54.499,29.314,159.684
ULS,76.257,46.902,255.495

Area - Equipments

0.595,0.924,2.444,0.563,0.251,0.251,1.05

Area - Linear equipments

Name,Widht,Shape Coefficient,Weight,Start,End
Other,0.1,1.2,15.0,0.0,20.0

Foundation

Foundation, 
Slab Width (m),6.00
Slab Height (m),1.00
Pier Width (m),1.00
Pier Height (m),1.80
Soil Self-Weight (kN/m3),0.0
Allowed Soil Tension (SLS) (Pa),0.0
Allowed Soil Tension (ULS) (Pa),0.0

Ratio Foundation

Ratio Foundation,0.04

Wind Load

Wind Load,
Country,Portugal
Wind Zone,A
vref (m/s),27
Terrain Category,II
Orographie Coefficient,1.0
q0 (Pa),455.625
Average Wind speed (top) (m/s),30.1957136813393
Dynamic Wind Pressure (top) (Pa),1247.5682518889473

Ice Load

Snow Load,
Radial ice thickness,0
Increased volumetric weight of ice (kg/m3),0

