Bars

Member,Profile,Steel,Slenderness,NtRd,NbRd,Ned,Ratio,Result
Leg - Shaft 9,Ø 114.3x6.3,S355,50.9,758.8,566.0,40.7,0.07,OK
Leg - Shaft 8,Ø 114.3x6.3,S355,34.6,758.8,659.4,139.6,0.21,OK
Leg - Shaft 7,Ø 139.7x8.0,S355,41.8,1175.0,959.6,254.4,0.27,OK
Leg - Shaft 6,Ø 139.7x8.0,S355,41.8,1175.0,959.6,353.5,0.37,OK
Leg - Shaft 5,Ø 139.7x8.0,S355,41.8,1175.0,959.6,444.6,0.46,OK
Leg - Shaft 4,Ø 193.7x8.0,S355,29.6,1656.8,1497.3,534.7,0.36,OK
Leg - Shaft 3,Ø 193.7x8.0,S355,29.6,1656.8,1497.3,626.9,0.42,OK
Leg - Shaft 2,Ø 193.7x8.0,S355,29.6,1656.8,1497.3,719.2,0.48,OK
Leg - Shaft 1,Ø 219.1x10.0,S355,26.3,2332.0,2160.3,782.1,0.36,OK
Diagonal Bar - Shaft 9,Ø 76.1x5.0,S355,70.0,396.5,234.0,24.3,0.1,OK
Diagonal Bar - Shaft 8,Ø 76.1x5.0,S355,57.7,396.5,273.8,33.7,0.12,OK
Diagonal Bar - Shaft 7,Ø 76.1x5.0,S355,78.5,396.5,207.9,28.2,0.14,OK
Diagonal Bar - Shaft 6,Ø 76.1x5.0,S355,89.9,396.5,176.4,28.6,0.16,OK
Diagonal Bar - Shaft 5,Ø 76.1x5.0,S355,102.3,396.5,147.8,30.3,0.2,OK
Diagonal Bar - Shaft 4,Ø 88.9x5.0,S355,97.8,467.9,186.0,34.7,0.19,OK
Diagonal Bar - Shaft 3,Ø 88.9x5.0,S355,109.1,467.9,158.6,39.1,0.25,OK
Diagonal Bar - Shaft 2,Ø 88.9x5.0,S355,120.8,467.9,135.6,40.9,0.3,OK
Diagonal Bar - Shaft 1,Ø 88.9x5.0,S355,78.1,467.9,246.6,40.7,0.17,OK
Horizontal Bar - Shaft 9,Ø 76.1x5.0,S355,44.4,396.5,315.7,11.4,0.04,OK
Horizontal Bar - Shaft 8,Ø 76.1x5.0,S355,44.4,396.5,315.7,24.2,0.08,OK
