Expanded Results,,,,,,,,,,,,,,,,,,,,
Wind Load - 0,,,,,,,,,,,,,,,,,,,,
Name_Enc_Out,At,Af,Ac,Acsup,As,Indice_Cheios,cf0f,cf0c,cf0csup,cfs0,cfs,c0_Vento_For,CsCd,Pressao_troco_medio,FmW,FTW,L_lin_equiv,Ka,FmW_lin,FTW_lin
Shaft 2,12.944,0.0,3.712,0.0,3.712,0.287,2.277,1.365,1.09,1.0,1.365,1.0,0.971,1141.9,2350.5,6275.8,0.0,0.8,0.0,0.0
Shaft 1,14.131,0.236,2.84,0.0,3.076,0.218,2.483,1.452,1.084,2.0,1.532,1.0,0.971,810.0,1550.0,3815.0,0.0,0.8,0.0,0.0
Wind Load - 15,,,,,,,,,,,,,,,,,,,,
Name_Enc_Out,At,Af,Ac,Acsup,As,Indice_Cheios,cf0f,cf0c,cf0csup,cfs0,cfs,c0_Vento_For,CsCd,Pressao_troco_medio,FmW,FTW,L_lin_equiv,Ka,FmW_lin,FTW_lin
Shaft 2,12.944,0.0,3.712,0.0,3.712,0.287,2.277,1.365,1.09,1.0,1.365,1.0,0.971,1141.9,2350.5,6275.8,0.0,0.8,0.0,0.0
Shaft 1,14.131,0.236,2.84,0.0,3.076,0.218,2.483,1.452,1.084,2.0,1.53,1.0,0.971,810.0,1548.3,3810.7,0.0,0.8,0.0,0.0
Wind Load - 30,,,,,,,,,,,,,,,,,,,,
Name_Enc_Out,At,Af,Ac,Acsup,As,Indice_Cheios,cf0f,cf0c,cf0csup,cfs0,cfs,c0_Vento_For,CsCd,Pressao_troco_medio,FmW,FTW,L_lin_equiv,Ka,FmW_lin,FTW_lin
Shaft 2,12.944,0.0,3.712,0.0,3.712,0.287,2.277,1.365,1.09,1.0,1.365,1.0,0.971,1141.9,2350.5,6275.8,0.0,0.8,0.0,0.0
Shaft 1,14.131,0.236,2.84,0.0,3.076,0.218,2.483,1.452,1.084,2.0,1.526,1.0,0.971,810.0,1544.1,3800.4,0.0,0.8,0.0,0.0
Wind Load - 45,,,,,,,,,,,,,,,,,,,,
Name_Enc_Out,At,Af,Ac,Acsup,As,Indice_Cheios,cf0f,cf0c,cf0csup,cfs0,cfs,c0_Vento_For,CsCd,Pressao_troco_medio,FmW,FTW,L_lin_equiv,Ka,FmW_lin,FTW_lin
Shaft 2,12.944,0.0,3.712,0.0,3.712,0.287,2.277,1.365,1.09,1.0,1.365,1.0,0.971,1141.9,2350.5,6275.8,0.0,0.8,0.0,0.0
Shaft 1,14.131,0.236,2.84,0.0,3.076,0.218,2.483,1.452,1.084,2.0,1.522,1.0,0.971,810.0,1539.9,3790.0,0.0,0.8,0.0,0.0
Wind Load - 60,,,,,,,,,,,,,,,,,,,,
Name_Enc_Out,At,Af,Ac,Acsup,As,Indice_Cheios,cf0f,cf0c,cf0csup,cfs0,cfs,c0_Vento_For,CsCd,Pressao_troco_medio,FmW,FTW,L_lin_equiv,Ka,FmW_lin,FTW_lin
Shaft 2,12.944,0.0,3.712,0.0,3.712,0.287,2.277,1.365,1.09,1.0,1.365,1.0,0.971,1141.9,2350.5,6275.8,0.0,0.8,0.0,0.0
Shaft 1,14.131,0.236,2.84,0.0,3.076,0.218,2.483,1.452,1.084,2.0,1.52,1.0,0.971,810.0,1538.1,3785.7,0.0,0.8,0.0,0.0
Wind Load - 75,,,,,,,,,,,,,,,,,,,,
Name_Enc_Out,At,Af,Ac,Acsup,As,Indice_Cheios,cf0f,cf0c,cf0csup,cfs0,cfs,c0_Vento_For,CsCd,Pressao_troco_medio,FmW,FTW,L_lin_equiv,Ka,FmW_lin,FTW_lin
Shaft 2,12.944,0.0,3.712,0.0,3.712,0.287,2.277,1.365,1.09,1.0,1.365,1.0,0.971,1141.9,2350.5,6275.8,0.0,0.8,0.0,0.0
Shaft 1,14.131,0.236,2.84,0.0,3.076,0.218,2.483,1.452,1.084,2.0,1.522,1.0,0.971,810.0,1539.9,3790.0,0.0,0.8,0.0,0.0
Wind Load - 90,,,,,,,,,,,,,,,,,,,,
Name_Enc_Out,At,Af,Ac,Acsup,As,Indice_Cheios,cf0f,cf0c,cf0csup,cfs0,cfs,c0_Vento_For,CsCd,Pressao_troco_medio,FmW,FTW,L_lin_equiv,Ka,FmW_lin,FTW_lin
Shaft 2,12.944,0.0,3.712,0.0,3.712,0.287,2.277,1.365,1.09,1.0,1.365,1.0,0.971,1141.9,2350.5,6275.8,0.0,0.8,0.0,0.0
Shaft 1,14.131,0.236,2.84,0.0,3.076,0.218,2.483,1.452,1.084,2.0,1.526,1.0,0.971,810.0,1544.1,3800.4,0.0,0.8,0.0,0.0
Wind Load - 105,,,,,,,,,,,,,,,,,,,,
Name_Enc_Out,At,Af,Ac,Acsup,As,Indice_Cheios,cf0f,cf0c,cf0csup,cfs0,cfs,c0_Vento_For,CsCd,Pressao_troco_medio,FmW,FTW,L_lin_equiv,Ka,FmW_lin,FTW_lin
Shaft 2,12.944,0.0,3.712,0.0,3.712,0.287,2.277,1.365,1.09,1.0,1.365,1.0,0.971,1141.9,2350.5,6275.8,0.0,0.8,0.0,0.0
Shaft 1,14.131,0.236,2.84,0.0,3.076,0.218,2.483,1.452,1.084,2.0,1.53,1.0,0.971,810.0,1548.3,3810.7,0.0,0.8,0.0,0.0
Wind Load - 120,,,,,,,,,,,,,,,,,,,,
Name_Enc_Out,At,Af,Ac,Acsup,As,Indice_Cheios,cf0f,cf0c,cf0csup,cfs0,cfs,c0_Vento_For,CsCd,Pressao_troco_medio,FmW,FTW,L_lin_equiv,Ka,FmW_lin,FTW_lin
Shaft 2,12.944,0.0,3.712,0.0,3.712,0.287,2.277,1.365,1.09,1.0,1.365,1.0,0.971,1141.9,2350.5,6275.8,0.0,0.8,0.0,0.0
Shaft 1,14.131,0.236,2.84,0.0,3.076,0.218,2.483,1.452,1.084,2.0,1.532,1.0,0.971,810.0,1550.0,3815.0,0.0,0.8,0.0,0.0
Wind Load - 135,,,,,,,,,,,,,,,,,,,,
Name_Enc_Out,At,Af,Ac,Acsup,As,Indice_Cheios,cf0f,cf0c,cf0csup,cfs0,cfs,c0_Vento_For,CsCd,Pressao_troco_medio,FmW,FTW,L_lin_equiv,Ka,FmW_lin,FTW_lin
Shaft 2,12.944,0.0,3.712,0.0,3.712,0.287,2.277,1.365,1.09,1.0,1.365,1.0,0.971,1141.9,2350.5,6275.8,0.0,0.8,0.0,0.0
Shaft 1,14.131,0.236,2.84,0.0,3.076,0.218,2.483,1.452,1.084,2.0,1.53,1.0,0.971,810.0,1548.3,3810.7,0.0,0.8,0.0,0.0
Wind Load - 150,,,,,,,,,,,,,,,,,,,,
Name_Enc_Out,At,Af,Ac,Acsup,As,Indice_Cheios,cf0f,cf0c,cf0csup,cfs0,cfs,c0_Vento_For,CsCd,Pressao_troco_medio,FmW,FTW,L_lin_equiv,Ka,FmW_lin,FTW_lin
Shaft 2,12.944,0.0,3.712,0.0,3.712,0.287,2.277,1.365,1.09,1.0,1.365,1.0,0.971,1141.9,2350.5,6275.8,0.0,0.8,0.0,0.0
Shaft 1,14.131,0.236,2.84,0.0,3.076,0.218,2.483,1.452,1.084,2.0,1.526,1.0,0.971,810.0,1544.1,3800.4,0.0,0.8,0.0,0.0
Wind Load - 165,,,,,,,,,,,,,,,,,,,,
Name_Enc_Out,At,Af,Ac,Acsup,As,Indice_Cheios,cf0f,cf0c,cf0csup,cfs0,cfs,c0_Vento_For,CsCd,Pressao_troco_medio,FmW,FTW,L_lin_equiv,Ka,FmW_lin,FTW_lin
Shaft 2,12.944,0.0,3.712,0.0,3.712,0.287,2.277,1.365,1.09,1.0,1.365,1.0,0.971,1141.9,2350.5,6275.8,0.0,0.8,0.0,0.0
Shaft 1,14.131,0.236,2.84,0.0,3.076,0.218,2.483,1.452,1.084,2.0,1.522,1.0,0.971,810.0,1539.9,3790.0,0.0,0.8,0.0,0.0
Wind Load - 180,,,,,,,,,,,,,,,,,,,,
Name_Enc_Out,At,Af,Ac,Acsup,As,Indice_Cheios,cf0f,cf0c,cf0csup,cfs0,cfs,c0_Vento_For,CsCd,Pressao_troco_medio,FmW,FTW,L_lin_equiv,Ka,FmW_lin,FTW_lin
Shaft 2,12.944,0.0,3.712,0.0,3.712,0.287,2.277,1.365,1.09,1.0,1.365,1.0,0.971,1141.9,2350.5,6275.8,0.0,0.8,0.0,0.0
Shaft 1,14.131,0.236,2.84,0.0,3.076,0.218,2.483,1.452,1.084,2.0,1.52,1.0,0.971,810.0,1538.1,3785.7,0.0,0.8,0.0,0.0
Wind Load - 195,,,,,,,,,,,,,,,,,,,,
Name_Enc_Out,At,Af,Ac,Acsup,As,Indice_Cheios,cf0f,cf0c,cf0csup,cfs0,cfs,c0_Vento_For,CsCd,Pressao_troco_medio,FmW,FTW,L_lin_equiv,Ka,FmW_lin,FTW_lin
Shaft 2,12.944,0.0,3.712,0.0,3.712,0.287,2.277,1.365,1.09,1.0,1.365,1.0,0.971,1141.9,2350.5,6275.8,0.0,0.8,0.0,0.0
Shaft 1,14.131,0.236,2.84,0.0,3.076,0.218,2.483,1.452,1.084,2.0,1.522,1.0,0.971,810.0,1539.9,3790.0,0.0,0.8,0.0,0.0
Wind Load - 210,,,,,,,,,,,,,,,,,,,,
Name_Enc_Out,At,Af,Ac,Acsup,As,Indice_Cheios,cf0f,cf0c,cf0csup,cfs0,cfs,c0_Vento_For,CsCd,Pressao_troco_medio,FmW,FTW,L_lin_equiv,Ka,FmW_lin,FTW_lin
Shaft 2,12.944,0.0,3.712,0.0,3.712,0.287,2.277,1.365,1.09,1.0,1.365,1.0,0.971,1141.9,2350.5,6275.8,0.0,0.8,0.0,0.0
Shaft 1,14.131,0.236,2.84,0.0,3.076,0.218,2.483,1.452,1.084,2.0,1.526,1.0,0.971,810.0,1544.1,3800.4,0.0,0.8,0.0,0.0
Wind Load - 225,,,,,,,,,,,,,,,,,,,,
Name_Enc_Out,At,Af,Ac,Acsup,As,Indice_Cheios,cf0f,cf0c,cf0csup,cfs0,cfs,c0_Vento_For,CsCd,Pressao_troco_medio,FmW,FTW,L_lin_equiv,Ka,FmW_lin,FTW_lin
Shaft 2,12.944,0.0,3.712,0.0,3.712,0.287,2.277,1.365,1.09,1.0,1.365,1.0,0.971,1141.9,2350.5,6275.8,0.0,0.8,0.0,0.0
Shaft 1,14.131,0.236,2.84,0.0,3.076,0.218,2.483,1.452,1.084,2.0,1.53,1.0,0.971,810.0,1548.3,3810.7,0.0,0.8,0.0,0.0
Wind Load - 240,,,,,,,,,,,,,,,,,,,,
Name_Enc_Out,At,Af,Ac,Acsup,As,Indice_Cheios,cf0f,cf0c,cf0csup,cfs0,cfs,c0_Vento_For,CsCd,Pressao_troco_medio,FmW,FTW,L_lin_equiv,Ka,FmW_lin,FTW_lin
Shaft 2,12.944,0.0,3.712,0.0,3.712,0.287,2.277,1.365,1.09,1.0,1.365,1.0,0.971,1141.9,2350.5,6275.8,0.0,0.8,0.0,0.0
Shaft 1,14.131,0.236,2.84,0.0,3.076,0.218,2.483,1.452,1.084,2.0,1.532,1.0,0.971,810.0,1550.0,3815.0,0.0,0.8,0.0,0.0
Wind Load - 255,,,,,,,,,,,,,,,,,,,,
Name_Enc_Out,At,Af,Ac,Acsup,As,Indice_Cheios,cf0f,cf0c,cf0csup,cfs0,cfs,c0_Vento_For,CsCd,Pressao_troco_medio,FmW,FTW,L_lin_equiv,Ka,FmW_lin,FTW_lin
Shaft 2,12.944,0.0,3.712,0.0,3.712,0.287,2.277,1.365,1.09,1.0,1.365,1.0,0.971,1141.9,2350.5,6275.8,0.0,0.8,0.0,0.0
Shaft 1,14.131,0.236,2.84,0.0,3.076,0.218,2.483,1.452,1.084,2.0,1.53,1.0,0.971,810.0,1548.3,3810.7,0.0,0.8,0.0,0.0
Wind Load - 270,,,,,,,,,,,,,,,,,,,,
Name_Enc_Out,At,Af,Ac,Acsup,As,Indice_Cheios,cf0f,cf0c,cf0csup,cfs0,cfs,c0_Vento_For,CsCd,Pressao_troco_medio,FmW,FTW,L_lin_equiv,Ka,FmW_lin,FTW_lin
Shaft 2,12.944,0.0,3.712,0.0,3.712,0.287,2.277,1.365,1.09,1.0,1.365,1.0,0.971,1141.9,2350.5,6275.8,0.0,0.8,0.0,0.0
Shaft 1,14.131,0.236,2.84,0.0,3.076,0.218,2.483,1.452,1.084,2.0,1.526,1.0,0.971,810.0,1544.1,3800.4,0.0,0.8,0.0,0.0
Wind Load - 285,,,,,,,,,,,,,,,,,,,,
Name_Enc_Out,At,Af,Ac,Acsup,As,Indice_Cheios,cf0f,cf0c,cf0csup,cfs0,cfs,c0_Vento_For,CsCd,Pressao_troco_medio,FmW,FTW,L_lin_equiv,Ka,FmW_lin,FTW_lin
Shaft 2,12.944,0.0,3.712,0.0,3.712,0.287,2.277,1.365,1.09,1.0,1.365,1.0,0.971,1141.9,2350.5,6275.8,0.0,0.8,0.0,0.0
Shaft 1,14.131,0.236,2.84,0.0,3.076,0.218,2.483,1.452,1.084,2.0,1.522,1.0,0.971,810.0,1539.9,3790.0,0.0,0.8,0.0,0.0
Wind Load - 300,,,,,,,,,,,,,,,,,,,,
Name_Enc_Out,At,Af,Ac,Acsup,As,Indice_Cheios,cf0f,cf0c,cf0csup,cfs0,cfs,c0_Vento_For,CsCd,Pressao_troco_medio,FmW,FTW,L_lin_equiv,Ka,FmW_lin,FTW_lin
Shaft 2,12.944,0.0,3.712,0.0,3.712,0.287,2.277,1.365,1.09,1.0,1.365,1.0,0.971,1141.9,2350.5,6275.8,0.0,0.8,0.0,0.0
Shaft 1,14.131,0.236,2.84,0.0,3.076,0.218,2.483,1.452,1.084,2.0,1.52,1.0,0.971,810.0,1538.1,3785.7,0.0,0.8,0.0,0.0
Wind Load - 315,,,,,,,,,,,,,,,,,,,,
Name_Enc_Out,At,Af,Ac,Acsup,As,Indice_Cheios,cf0f,cf0c,cf0csup,cfs0,cfs,c0_Vento_For,CsCd,Pressao_troco_medio,FmW,FTW,L_lin_equiv,Ka,FmW_lin,FTW_lin
Shaft 2,12.944,0.0,3.712,0.0,3.712,0.287,2.277,1.365,1.09,1.0,1.365,1.0,0.971,1141.9,2350.5,6275.8,0.0,0.8,0.0,0.0
Shaft 1,14.131,0.236,2.84,0.0,3.076,0.218,2.483,1.452,1.084,2.0,1.522,1.0,0.971,810.0,1539.9,3790.0,0.0,0.8,0.0,0.0
Wind Load - 330,,,,,,,,,,,,,,,,,,,,
Name_Enc_Out,At,Af,Ac,Acsup,As,Indice_Cheios,cf0f,cf0c,cf0csup,cfs0,cfs,c0_Vento_For,CsCd,Pressao_troco_medio,FmW,FTW,L_lin_equiv,Ka,FmW_lin,FTW_lin
Shaft 2,12.944,0.0,3.712,0.0,3.712,0.287,2.277,1.365,1.09,1.0,1.365,1.0,0.971,1141.9,2350.5,6275.8,0.0,0.8,0.0,0.0
Shaft 1,14.131,0.236,2.84,0.0,3.076,0.218,2.483,1.452,1.084,2.0,1.526,1.0,0.971,810.0,1544.1,3800.4,0.0,0.8,0.0,0.0
Wind Load - 345,,,,,,,,,,,,,,,,,,,,
Name_Enc_Out,At,Af,Ac,Acsup,As,Indice_Cheios,cf0f,cf0c,cf0csup,cfs0,cfs,c0_Vento_For,CsCd,Pressao_troco_medio,FmW,FTW,L_lin_equiv,Ka,FmW_lin,FTW_lin
Shaft 2,12.944,0.0,3.712,0.0,3.712,0.287,2.277,1.365,1.09,1.0,1.365,1.0,0.971,1141.9,2350.5,6275.8,0.0,0.8,0.0,0.0
Shaft 1,14.131,0.236,2.84,0.0,3.076,0.218,2.483,1.452,1.084,2.0,1.53,1.0,0.971,810.0,1548.3,3810.7,0.0,0.8,0.0,0.0

