Expanded Results,,,,,,,,,,,,,,,,,,,,
Wind Load - 0,,,,,,,,,,,,,,,,,,,,
Name_Enc_Out,At,Af,Ac,Acsup,As,Indice_Cheios,cf0f,cf0c,cf0csup,cfs0,cfs,c0_Vento_For,CsCd,Pressao_troco_medio,FmW,FTW,L_lin_equiv,Ka,FmW_lin,FTW_lin
Shaft 8,5.3,1.143,0.0,0.0,1.143,0.216,2.863,1.667,1.305,3.0,3.203,1.0,0.933,1438.5,2469.7,5289.3,0.34,1.0,1376.1,2947.1
Shaft 7,4.32,1.075,0.0,0.0,1.075,0.249,2.727,1.604,1.297,3.0,3.101,1.0,0.933,1390.4,2172.3,4565.4,0.34,1.0,1064.0,2236.2
Shaft 6,4.252,1.079,0.0,0.0,1.079,0.254,2.708,1.595,1.296,3.0,3.086,1.0,0.933,1344.0,2097.7,4350.8,0.34,1.0,926.4,1921.5
Shaft 5,5.086,1.092,0.0,0.0,1.092,0.215,2.867,1.669,1.306,3.0,3.206,1.0,0.933,1291.1,2119.9,4351.2,0.34,1.0,973.9,1999.1
Shaft 4,6.358,1.347,0.0,0.0,1.347,0.212,2.879,1.675,1.307,3.0,3.215,1.0,0.933,1216.5,2470.8,5022.2,0.34,1.0,1147.1,2331.7
Shaft 3,6.506,1.643,0.0,0.0,1.643,0.253,2.712,1.597,1.296,3.0,3.089,1.0,0.933,1108.3,2638.2,5310.8,0.34,1.0,1045.2,2104.0
Shaft 2,6.506,1.721,0.0,0.0,1.721,0.264,2.666,1.576,1.294,3.0,3.054,1.0,0.933,946.2,2331.6,4661.9,0.34,0.8,713.8,1427.2
Shaft 1,5.323,1.628,0.0,0.0,1.628,0.306,2.514,1.51,1.287,3.0,2.937,1.0,0.933,648.5,1453.6,2895.2,0.34,0.8,391.4,779.5
Wind Load - 60,,,,,,,,,,,,,,,,,,,,
Name_Enc_Out,At,Af,Ac,Acsup,As,Indice_Cheios,cf0f,cf0c,cf0csup,cfs0,cfs,c0_Vento_For,CsCd,Pressao_troco_medio,FmW,FTW,L_lin_equiv,Ka,FmW_lin,FTW_lin
Shaft 9,5.3,1.143,0.0,0.0,1.143,0.216,2.863,1.667,1.305,3.0,3.118,1.0,0.935,1485.5,2482.7,5443.8,0.321,1.0,1342.6,2943.8
Shaft 8,5.3,1.143,0.0,0.0,1.143,0.216,2.863,1.667,1.305,3.0,3.118,1.0,0.935,1438.5,2404.2,5160.4,0.34,1.0,1376.1,2953.6
Shaft 7,4.32,1.075,0.0,0.0,1.075,0.249,2.727,1.604,1.297,3.0,3.007,1.0,0.935,1390.4,2106.9,4437.6,0.34,1.0,1064.0,2241.0
Shaft 6,4.252,1.079,0.0,0.0,1.079,0.254,2.708,1.595,1.296,3.0,2.991,1.0,0.935,1344.0,2033.5,4226.5,0.34,1.0,926.4,1925.6
Shaft 5,5.086,1.092,0.0,0.0,1.092,0.215,2.867,1.669,1.306,3.0,3.121,1.0,0.935,1291.1,2063.9,4245.2,0.34,1.0,973.9,2003.3
