Nodes,,,,,,,,,,,,,
ID,Title,X,Y,Z,Type,,,,,,,,
22,Horizontal Bar 22 - Shaft 1,4,5,Horizontal Bar,pipe,Ø 48.3x2.9,S235,No,1,Alternating Diagonal,yes,yes,
23,Horizontal Bar 23 - Shaft 1,5,6,Horizontal Bar,pipe,Ø 48.3x2.9,S235,No,1,Alternating Diagonal,yes,yes,
24,Horizontal Bar 24 - Shaft 1,6,4,Horizontal Bar,pipe,Ø 48.3x2.9,S235,No,1,Alternating Diagonal,yes,yes,
25,Horizontal Bar 25 - Shaft 1,7,8,Horizontal Bar,pipe,Ø 48.3x2.9,S235,No,1,Alternating Diagonal,yes,yes,
26,Horizontal Bar 26 - Shaft 1,8,9,Horizontal Bar,pipe,Ø 48.3x2.9,S235,No,1,Alternating Diagonal,yes,yes,
27,Horizontal Bar 27 - Shaft 1,9,7,Horizontal Bar,pipe,Ø 48.3x2.9,S235,No,1,Alternating Diagonal,yes,yes,
28,Leg 28 - Shaft 2,10,13,Leg,pipe,Ø 139.7x5.0,S355,0,0,Alternating Diagonal,yes,yes,
29,Leg 29 - Shaft 2,11,14,Leg,pipe,Ø 139.7x5.0,S355,0,0,Alternating Diagonal,yes,yes,
30,Leg 30 - Shaft 2,12,15,Leg,pipe,Ø 139.7x5.0,S355,0,0,Alternating Diagonal,yes,yes,
31,Leg 31 - Shaft 2,13,16,Leg,pipe,Ø 139.7x5.0,S355,0,0,Alternating Diagonal,yes,yes,
32,Leg 32 - Shaft 2,14,17,Leg,pipe,Ø 139.7x5.0,S355,0,0,Alternating Diagonal,yes,yes,
33,Leg 33 - Shaft 2,15,18,Leg,pipe,Ø 139.7x5.0,S355,0,0,Alternating Diagonal,yes,yes,
34,Leg 34 - Shaft 2,16,19,Leg,pipe,Ø 139.7x5.0,S355,0,0,Alternating Diagonal,yes,yes,
35,Leg 35 - Shaft 2,17,20,Leg,pipe,Ø 139.7x5.0,S355,0,0,Alternating Diagonal,yes,yes,
36,Leg 36 - Shaft 2,18,21,Leg,pipe,Ø 139.7x5.0,S355,0,0,Alternating Diagonal,yes,yes,
37,Diagonal Bar 37 - Shaft 2,11,13,Diagonal Bar,pipe,Ø 88.9x3,S235,No,2,Alternating Diagonal,yes,yes,
38,Diagonal Bar 38 - Shaft 2,12,14,Diagonal Bar,pipe,Ø 88.9x3,S235,No,2,Alternating Diagonal,yes,yes,
39,Diagonal Bar 39 - Shaft 2,10,15,Diagonal Bar,pipe,Ø 88.9x3,S235,No,2,Alternating Diagonal,yes,yes,
40,Diagonal Bar 40 - Shaft 2,13,17,Diagonal Bar,pipe,Ø 88.9x3,S235,No,2,Alternating Diagonal,yes,yes,
41,Diagonal Bar 41 - Shaft 2,14,18,Diagonal Bar,pipe,Ø 88.9x3,S235,No,2,Alternating Diagonal,yes,yes,
42,Diagonal Bar 42 - Shaft 2,15,16,Diagonal Bar,pipe,Ø 88.9x3,S235,No,2,Alternating Diagonal,yes,yes,
43,Diagonal Bar 43 - Shaft 2,17,19,Diagonal Bar,pipe,Ø 88.9x3,S235,No,2,Alternating Diagonal,yes,yes,
44,Diagonal Bar 44 - Shaft 2,18,20,Diagonal Bar,pipe,Ø 88.9x3,S235,No,2,Alternating Diagonal,yes,yes,
45,Diagonal Bar 45 - Shaft 2,16,21,Diagonal Bar,pipe,Ø 88.9x3,S235,No,2,Alternating Diagonal,yes,yes,
46,Horizontal Bar 46 - Shaft 2,19,20,Horizontal Bar,pipe,Ø 48.3x2.9,S235,No,1,Alternating Diagonal,yes,yes,
47,Horizontal Bar 47 - Shaft 2,20,21,Horizontal Bar,pipe,Ø 48.3x2.9,S235,No,1,Alternating Diagonal,yes,yes,
48,Horizontal Bar 48 - Shaft 2,21,19,Horizontal Bar,pipe,Ø 48.3x2.9,S235,No,1,Alternating Diagonal,yes,yes,
49,Horizontal Bar 49 - Shaft 2,13,14,Horizontal Bar,pipe,Ø 48.3x2.9,S235,No,1,Alternating Diagonal,yes,yes,
50,Horizontal Bar 50 - Shaft 2,14,15,Horizontal Bar,pipe,Ø 48.3x2.9,S235,No,1,Alternating Diagonal,yes,yes,
51,Horizontal Bar 51 - Shaft 2,15,13,Horizontal Bar,pipe,Ø 48.3x2.9,S235,No,1,Alternating Diagonal,yes,yes,
52,Horizontal Bar 52 - Shaft 2,16,17,Horizontal Bar,pipe,Ø 48.3x2.9,S235,No,1,Alternating Diagonal,yes,yes,
53,Horizontal Bar 53 - Shaft 2,17,18,Horizontal Bar,pipe,Ø 48.3x2.9,S235,No,1,Alternating Diagonal,yes,yes,
54,Horizontal Bar 54 - Shaft 2,18,16,Horizontal Bar,pipe,Ø 48.3x2.9,S235,No,1,Alternating Diagonal,yes,yes,
55,Leg 55 - Shaft 3,19,22,Leg,pipe,Ø 114.3x4.0,S355,0,0,Alternating Diagonal,yes,yes,
56,Leg 56 - Shaft 3,20,23,Leg,pipe,Ø 114.3x4.0,S355,0,0,Alternating Diagonal,yes,yes,
57,Leg 57 - Shaft 3,21,24,Leg,pipe,Ø 114.3x4.0,S355,0,0,Alternating Diagonal,yes,yes,
58,Leg 58 - Shaft 3,22,25,Leg,pipe,Ø 114.3x4.0,S355,0,0,Alternating Diagonal,yes,yes,
59,Leg 59 - Shaft 3,23,26,Leg,pipe,Ø 114.3x4.0,S355,0,0,Alternating Diagonal,yes,yes,
60,Leg 60 - Shaft 3,24,27,Leg,pipe,Ø 114.3x4.0,S355,0,0,Alternating Diagonal,yes,yes,
61,Leg 61 - Shaft 3,25,28,Leg,pipe,Ø 114.3x4.0,S355,0,0,Alternating Diagonal,yes,yes,
62,Leg 62 - Shaft 3,26,29,Leg,pipe,Ø 114.3x4.0,S355,0,0,Alternating Diagonal,yes,yes,
63,Leg 63 - Shaft 3,27,30,Leg,pipe,Ø 114.3x4.0,S355,0,0,Alternating Diagonal,yes,yes,
64,Diagonal Bar 64 - Shaft 3,19,23,Diagonal Bar,pipe,Ø 76.1x3,S235,No,2,Alternating Diagonal,yes,yes,
65,Diagonal Bar 65 - Shaft 3,20,24,Diagonal Bar,pipe,Ø 76.1x3,S235,No,2,Alternating Diagonal,yes,yes,
66,Diagonal Bar 66 - Shaft 3,21,22,Diagonal Bar,pipe,Ø 76.1x3,S235,No,2,Alternating Diagonal,yes,yes,
