Nodes
ID,Title,X,Y,Z,Type
49,Diagonal Bar 49 - Shaft 3,17,22,Diagonal Bar,angle,L60x60x6,S235,No,2,Alternating Diagonal,yes,no
50,Diagonal Bar 50 - Shaft 3,18,23,Diagonal Bar,angle,L60x60x6,S235,No,2,Alternating Diagonal,yes,no
51,Diagonal Bar 51 - Shaft 3,19,24,Diagonal Bar,angle,L60x60x6,S235,No,2,Alternating Diagonal,yes,no
52,Diagonal Bar 52 - Shaft 3,20,21,Diagonal Bar,angle,L60x60x6,S235,No,2,Alternating Diagonal,yes,no
53,Diagonal Bar 53 - Shaft 3,22,25,Diagonal Bar,angle,L60x60x6,S235,No,2,Alternating Diagonal,yes,no
54,Diagonal Bar 54 - Shaft 3,23,26,Diagonal Bar,angle,L60x60x6,S235,No,2,Alternating Diagonal,yes,no
55,Diagonal Bar 55 - Shaft 3,24,27,Diagonal Bar,angle,L60x60x6,S235,No,2,Alternating Diagonal,yes,no
56,Diagonal Bar 56 - Shaft 3,21,28,Diagonal Bar,angle,L60x60x6,S235,No,2,Alternating Diagonal,yes,no
57,Horizontal Bar 57 - Shaft 3,25,26,Horizontal Bar,angle,L80x80x8,S235,No,1,Alternating Diagonal,yes,no
58,Horizontal Bar 58 - Shaft 3,26,27,Horizontal Bar,angle,L80x80x8,S235,No,1,Alternating Diagonal,yes,no
59,Horizontal Bar 59 - Shaft 3,27,28,Horizontal Bar,angle,L80x80x8,S235,No,1,Alternating Diagonal,yes,no
60,Horizontal Bar 60 - Shaft 3,28,25,Horizontal Bar,angle,L80x80x8,S235,No,1,Alternating Diagonal,yes,no
61,Leg 61 - Shaft 4,25,29,Leg,angle,L120x120x12,S235,0,0,Alternating Diagonal,yes,no
62,Leg 62 - Shaft 4,26,30,Leg,angle,L120x120x12,S235,0,0,Alternating Diagonal,yes,no
63,Leg 63 - Shaft 4,27,31,Leg,angle,L120x120x12,S235,0,0,Alternating Diagonal,yes,no
64,Leg 64 - Shaft 4,28,32,Leg,angle,L120x120x12,S235,0,0,Alternating Diagonal,yes,no
65,Leg 65 - Shaft 4,29,33,Leg,angle,L120x120x12,S235,0,0,Alternating Diagonal,yes,no
66,Leg 66 - Shaft 4,30,34,Leg,angle,L120x120x12,S235,0,0,Alternating Diagonal,yes,no
67,Leg 67 - Shaft 4,31,35,Leg,angle,L120x120x12,S235,0,0,Alternating Diagonal,yes,no
68,Leg 68 - Shaft 4,32,36,Leg,angle,L120x120x12,S235,0,0,Alternating Diagonal,yes,no
69,Diagonal Bar 69 - Shaft 4,25,30,Diagonal Bar,angle,L60x60x6,S235,No,2,Alternating Diagonal,yes,no
70,Diagonal Bar 70 - Shaft 4,26,31,Diagonal Bar,angle,L60x60x6,S235,No,2,Alternating Diagonal,yes,no
71,Diagonal Bar 71 - Shaft 4,27,32,Diagonal Bar,angle,L60x60x6,S235,No,2,Alternating Diagonal,yes,no
72,Diagonal Bar 72 - Shaft 4,28,29,Diagonal Bar,angle,L60x60x6,S235,No,2,Alternating Diagonal,yes,no
73,Diagonal Bar 73 - Shaft 4,30,33,Diagonal Bar,angle,L60x60x6,S235,No,2,Alternating Diagonal,yes,no
