Nodes
ID,Title,X,Y,Z,Type
74,Connection Bracings 74 - Shaft 5,-269.087,-466.071,29035.714,Non-Connectable Node
75,Connection Bracings 75 - Shaft 5,-269.087,466.071,29035.714,Non-Connectable Node
76,Connection Bracings 76 - Shaft 6,519.615,900.000,32000.000,Connection Bracer
77,Connection Bracings 77 - Shaft 6,519.615,-900.000,32000.000,Connection Bracer
78,Connection Bracings 78 - Shaft 6,-1039.231,0.000,32000.000,Connection Bracer
79,Connection Bracings 79 - Shaft 6,519.615,900.000,34000.000,Connection Bracer
80,Connection Bracings 80 - Shaft 6,519.615,-900.000,34000.000,Connection Bracer
81,Connection Bracings 81 - Shaft 6,-1039.231,0.000,34000.000,Connection Bracer
82,Connection Shaft 82 - Shaft 6,519.615,900.000,36000.000,Connection Shaft
83,Connection Shaft 83 - Shaft 6,519.615,-900.000,36000.000,Connection Shaft
84,Connection Shaft 84 - Shaft 6,-1039.231,0.000,36000.000,Connection Shaft
85,Connection Bracings 85 - Shaft 6,519.615,0.000,31000.000,Non-Connectable Node
86,Connection Bracings 86 - Shaft 6,-259.808,-450.000,31000.000,Non-Connectable Node
87,Connection Bracings 87 - Shaft 6,-259.808,450.000,31000.000,Non-Connectable Node
88,Connection Bracings 88 - Shaft 6,519.615,0.000,33000.000,Non-Connectable Node
89,Connection Bracings 89 - Shaft 6,-259.808,-450.000,33000.000,Non-Connectable Node
90,Connection Bracings 90 - Shaft 6,-259.808,450.000,33000.000,Non-Connectable Node
91,Connection Bracings 91 - Shaft 6,519.615,0.000,35000.000,Non-Connectable Node
92,Connection Bracings 92 - Shaft 6,-259.808,-450.000,35000.000,Non-Connectable Node
93,Connection Bracings 93 - Shaft 6,-259.808,450.000,35000.000,Non-Connectable Node
94,Connection Bracings 94 - Shaft 7,519.615,900.000,38000.000,Connection Bracer
95,Connection Bracings 95 - Shaft 7,519.615,-900.000,38000.000,Connection Bracer
96,Connection Bracings 96 - Shaft 7,-1039.231,0.000,38000.000,Connection Bracer
97,Connection Bracings 97 - Shaft 7,519.615,900.000,40000.000,Connection Bracer
98,Connection Bracings 98 - Shaft 7,519.615,-900.000,40000.000,Connection Bracer
99,Connection Bracings 99 - Shaft 7,-1039.231,0.000,40000.000,Connection Bracer
100,Connection Shaft 100 - Shaft 7,519.615,900.000,42000.000,Connection Shaft
101,Connection Shaft 101 - Shaft 7,519.615,-900.000,42000.000,Connection Shaft
102,Connection Shaft 102 - Shaft 7,-1039.231,0.000,42000.000,Connection Shaft
103,Connection Bracings 103 - Shaft 7,519.615,0.000,37000.000,Non-Connectable Node
104,Connection Bracings 104 - Shaft 7,-259.808,-450.000,37000.000,Non-Connectable Node
105,Connection Bracings 105 - Shaft 7,-259.808,450.000,37000.000,Non-Connectable Node
106,Connection Bracings 106 - Shaft 7,519.615,0.000,39000.000,Non-Connectable Node
107,Connection Bracings 107 - Shaft 7,-259.808,-450.000,39000.000,Non-Connectable Node
108,Connection Bracings 108 - Shaft 7,-259.808,450.000,39000.000,Non-Connectable Node
109,Connection Bracings 109 - Shaft 7,519.615,0.000,41000.000,Non-Connectable Node
110,Connection Bracings 110 - Shaft 7,-259.808,-450.000,41000.000,Non-Connectable Node
111,Connection Bracings 111 - Shaft 7,-259.808,450.000,41000.000,Non-Connectable Node

Lines
ID,Title,Start_Node_ID,End_Node_ID,Type,Type_of_Profile,Line_Profile,Steel_Type,Is_Welded,N_Bolts,Type_of_Shape,Top_Bars,Middle_Bars
1,Leg 1 - Shaft 1,1,4,Leg,pipe,Ø 193.7x6.0,S355,0,0,X-Bracing,yes,no
2,Leg 2 - Shaft 1,2,5,Leg,pipe,Ø 193.7x6.0,S355,0,0,X-Bracing,yes,no
3,Leg 3 - Shaft 1,3,6,Leg,pipe,Ø 193.7x6.0,S355,0,0,X-Bracing,yes,no
4,Leg 4 - Shaft 1,4,7,Leg,pipe,Ø 193.7x6.0,S355,0,0,X-Bracing,yes,no
5,Leg 5 - Shaft 1,5,8,Leg,pipe,Ø 193.7x6.0,S355,0,0,X-Bracing,yes,no
6,Leg 6 - Shaft 1,6,9,Leg,pipe,Ø 193.7x6.0,S355,0,0,X-Bracing,yes,no
7,Diagonal Bar 7 - Shaft 1,1,10,Diagonal Bar,angle,L70x70x5,S235,No,1,X-Bracing,yes,no
8,Diagonal Bar 8 - Shaft 1,10,5,Diagonal Bar,angle,L70x70x5,S235,No,1,X-Bracing,yes,no
9,Diagonal Bar 9 - Shaft 1,2,10,Diagonal Bar,angle,L70x70x5,S235,No,1,X-Bracing,yes,no
10,Diagonal Bar 10 - Shaft 1,10,4,Diagonal Bar,angle,L70x70x5,S235,No,1,X-Bracing,yes,no
11,Diagonal Bar 11 - Shaft 1,2,11,Diagonal Bar,angle,L70x70x5,S235,No,1,X-Bracing,yes,no
12,Diagonal Bar 12 - Shaft 1,11,6,Diagonal Bar,angle,L70x70x5,S235,No,1,X-Bracing,yes,no
13,Diagonal Bar 13 - Shaft 1,3,11,Diagonal Bar,angle,L70x70x5,S235,No,1,X-Bracing,yes,no
14,Diagonal Bar 14 - Shaft 1,11,5,Diagonal Bar,angle,L70x70x5,S235,No,1,X-Bracing,yes,no
15,Diagonal Bar 15 - Shaft 1,3,12,Diagonal Bar,angle,L70x70x5,S235,No,1,X-Bracing,yes,no
16,Diagonal Bar 16 - Shaft 1,12,4,Diagonal Bar,angle,L70x70x5,S235,No,1,X-Bracing,yes,no
17,Diagonal Bar 17 - Shaft 1,1,12,Diagonal Bar,angle,L70x70x5,S235,No,1,X-Bracing,yes,no
18,Diagonal Bar 18 - Shaft 1,12,6,Diagonal Bar,angle,L70x70x5,S235,No,1,X-Bracing,yes,no
19,Diagonal Bar 19 - Shaft 1,4,13,Diagonal Bar,angle,L70x70x5,S235,No,1,X-Bracing,yes,no
20,Diagonal Bar 20 - Shaft 1,13,8,Diagonal Bar,angle,L70x70x5,S235,No,1,X-Bracing,yes,no
21,Diagonal Bar 21 - Shaft 1,5,13,Diagonal Bar,angle,L70x70x5,S235,No,1,X-Bracing,yes,no
22,Diagonal Bar 22 - Shaft 1,13,7,Diagonal Bar,angle,L70x70x5,S235,No,1,X-Bracing,yes,no
23,Diagonal Bar 23 - Shaft 1,5,14,Diagonal Bar,angle,L70x70x5,S235,No,1,X-Bracing,yes,no
24,Diagonal Bar 24 - Shaft 1,14,9,Diagonal Bar,angle,L70x70x5,S235,No,1,X-Bracing,yes,no
25,Diagonal Bar 25 - Shaft 1,6,14,Diagonal Bar,angle,L70x70x5,S235,No,1,X-Bracing,yes,no
26,Diagonal Bar 26 - Shaft 1,14,8,Diagonal Bar,angle,L70x70x5,S235,No,1,X-Bracing,yes,no
27,Diagonal Bar 27 - Shaft 1,6,15,Diagonal Bar,angle,L70x70x5,S235,No,1,X-Bracing,yes,no
28,Diagonal Bar 28 - Shaft 1,15,7,Diagonal Bar,angle,L70x70x5,S235,No,1,X-Bracing,yes,no
29,Diagonal Bar 29 - Shaft 1,4,15,Diagonal Bar,angle,L70x70x5,S235,No,1,X-Bracing,yes,no
30,Diagonal Bar 30 - Shaft 1,15,9,Diagonal Bar,angle,L70x70x5,S235,No,1,X-Bracing,yes,no
31,Horizontal Bar 31 - Shaft 1,7,8,Horizontal Bar,angle,L70x70x5,S235,No,1,X-Bracing,yes,no
32,Horizontal Bar 32 - Shaft 1,8,9,Horizontal Bar,angle,L70x70x5,S235,No,1,X-Bracing,yes,no
33,Horizontal Bar 33 - Shaft 1,9,7,Horizontal Bar,angle,L70x70x5,S235,No,1,X-Bracing,yes,no
34,Leg 34 - Shaft 2,7,16,Leg,pipe,Ø 193.7x6.0,S355,0,0,X-Bracing,yes,no
35,Leg 35 - Shaft 2,8,17,Leg,pipe,Ø 193.7x6.0,S355,0,0,X-Bracing,yes,no
36,Leg 36 - Shaft 2,9,18,Leg,pipe,Ø 193.7x6.0,S355,0,0,X-Bracing,yes,no
37,Leg 37 - Shaft 2,16,19,Leg,pipe,Ø 193.7x6.0,S355,0,0,X-Bracing,yes,no
38,Leg 38 - Shaft 2,17,20,Leg,pipe,Ø 193.7x6.0,S355,0,0,X-Bracing,yes,no
39,Leg 39 - Shaft 2,18,21,Leg,pipe,Ø 193.7x6.0,S355,0,0,X-Bracing,yes,no
