Nodes
ID,Title,X,Y,Z,Type
41,Leg 41 - Shaft 2,17,21,Leg,pipe,Ø 168.3x6.0,S355,0,0,Alternating Diagonal,yes,yes
42,Leg 42 - Shaft 2,18,22,Leg,pipe,Ø 168.3x6.0,S355,0,0,Alternating Diagonal,yes,yes
43,Leg 43 - Shaft 2,19,23,Leg,pipe,Ø 168.3x6.0,S355,0,0,Alternating Diagonal,yes,yes
44,Leg 44 - Shaft 2,20,24,Leg,pipe,Ø 168.3x6.0,S355,0,0,Alternating Diagonal,yes,yes
45,Leg 45 - Shaft 2,21,25,Leg,pipe,Ø 168.3x6.0,S355,0,0,Alternating Diagonal,yes,yes
46,Leg 46 - Shaft 2,22,26,Leg,pipe,Ø 168.3x6.0,S355,0,0,Alternating Diagonal,yes,yes
47,Leg 47 - Shaft 2,23,27,Leg,pipe,Ø 168.3x6.0,S355,0,0,Alternating Diagonal,yes,yes
48,Leg 48 - Shaft 2,24,28,Leg,pipe,Ø 168.3x6.0,S355,0,0,Alternating Diagonal,yes,yes
49,Diagonal Bar 49 - Shaft 2,14,17,Diagonal Bar,pipe,Ø 76.1x6,S275,No,1,Alternating Diagonal,yes,yes
50,Diagonal Bar 50 - Shaft 2,15,18,Diagonal Bar,pipe,Ø 76.1x6,S275,No,1,Alternating Diagonal,yes,yes
51,Diagonal Bar 51 - Shaft 2,16,19,Diagonal Bar,pipe,Ø 76.1x6,S275,No,1,Alternating Diagonal,yes,yes
52,Diagonal Bar 52 - Shaft 2,13,20,Diagonal Bar,pipe,Ø 76.1x6,S275,No,1,Alternating Diagonal,yes,yes
53,Diagonal Bar 53 - Shaft 2,17,22,Diagonal Bar,pipe,Ø 76.1x6,S275,No,1,Alternating Diagonal,yes,yes
54,Diagonal Bar 54 - Shaft 2,18,23,Diagonal Bar,pipe,Ø 76.1x6,S275,No,1,Alternating Diagonal,yes,yes
55,Diagonal Bar 55 - Shaft 2,19,24,Diagonal Bar,pipe,Ø 76.1x6,S275,No,1,Alternating Diagonal,yes,yes
56,Diagonal Bar 56 - Shaft 2,20,21,Diagonal Bar,pipe,Ø 76.1x6,S275,No,1,Alternating Diagonal,yes,yes
57,Diagonal Bar 57 - Shaft 2,22,25,Diagonal Bar,pipe,Ø 76.1x6,S275,No,1,Alternating Diagonal,yes,yes
58,Diagonal Bar 58 - Shaft 2,23,26,Diagonal Bar,pipe,Ø 76.1x6,S275,No,1,Alternating Diagonal,yes,yes
59,Diagonal Bar 59 - Shaft 2,24,27,Diagonal Bar,pipe,Ø 76.1x6,S275,No,1,Alternating Diagonal,yes,yes
60,Diagonal Bar 60 - Shaft 2,21,28,Diagonal Bar,pipe,Ø 76.1x6,S275,No,1,Alternating Diagonal,yes,yes
61,Horizontal Bar 61 - Shaft 2,25,26,Horizontal Bar,pipe,Ø 60.3x3.2,S275,No,1,Alternating Diagonal,yes,yes
62,Horizontal Bar 62 - Shaft 2,26,27,Horizontal Bar,pipe,Ø 60.3x3.2,S275,No,1,Alternating Diagonal,yes,yes
63,Horizontal Bar 63 - Shaft 2,27,28,Horizontal Bar,pipe,Ø 60.3x3.2,S275,No,1,Alternating Diagonal,yes,yes
64,Horizontal Bar 64 - Shaft 2,28,25,Horizontal Bar,pipe,Ø 60.3x3.2,S275,No,1,Alternating Diagonal,yes,yes
65,Horizontal Bar 65 - Shaft 2,17,18,Horizontal Bar,pipe,Ø 60.3x3.2,S275,No,1,Alternating Diagonal,yes,yes
66,Horizontal Bar 66 - Shaft 2,18,19,Horizontal Bar,pipe,Ø 60.3x3.2,S275,No,1,Alternating Diagonal,yes,yes
67,Horizontal Bar 67 - Shaft 2,19,20,Horizontal Bar,pipe,Ø 60.3x3.2,S275,No,1,Alternating Diagonal,yes,yes
68,Horizontal Bar 68 - Shaft 2,20,17,Horizontal Bar,pipe,Ø 60.3x3.2,S275,No,1,Alternating Diagonal,yes,yes
69,Horizontal Bar 69 - Shaft 2,21,22,Horizontal Bar,pipe,Ø 60.3x3.2,S275,No,1,Alternating Diagonal,yes,yes
70,Horizontal Bar 70 - Shaft 2,22,23,Horizontal Bar,pipe,Ø 60.3x3.2,S275,No,1,Alternating Diagonal,yes,yes
71,Horizontal Bar 71 - Shaft 2,23,24,Horizontal Bar,pipe,Ø 60.3x3.2,S275,No,1,Alternating Diagonal,yes,yes
72,Horizontal Bar 72 - Shaft 2,24,21,Horizontal Bar,pipe,Ø 60.3x3.2,S275,No,1,Alternating Diagonal,yes,yes
73,Leg 73 - Shaft 3,25,29,Leg,pipe,Ø 139.7x6.0,S355,0,0,Alternating Diagonal,yes,yes
74,Leg 74 - Shaft 3,26,30,Leg,pipe,Ø 139.7x6.0,S355,0,0,Alternating Diagonal,yes,yes
75,Leg 75 - Shaft 3,27,31,Leg,pipe,Ø 139.7x6.0,S355,0,0,Alternating Diagonal,yes,yes
76,Leg 76 - Shaft 3,28,32,Leg,pipe,Ø 139.7x6.0,S355,0,0,Alternating Diagonal,yes,yes
77,Leg 77 - Shaft 3,29,33,Leg,pipe,Ø 139.7x6.0,S355,0,0,Alternating Diagonal,yes,yes
78,Leg 78 - Shaft 3,30,34,Leg,pipe,Ø 139.7x6.0,S355,0,0,Alternating Diagonal,yes,yes
