Nodes
ID,Title,X,Y,Z,Type
1,Tower Foundation Connection 1 - Shaft 1,572.500,572.500,0.000,Tower Foundation
2,Tower Foundation Connection 2 - Shaft 1,572.500,-572.500,0.000,Tower Foundation
3,Tower Foundation Connection 3 - Shaft 1,-572.500,-572.500,0.000,Tower Foundation
4,Tower Foundation Connection 4 - Shaft 1,-572.500,572.500,0.000,Tower Foundation
5,Connection Bracings 5 - Shaft 1,563.333,563.333,1000.000,Connection Bracer
6,Connection Bracings 6 - Shaft 1,563.333,-563.333,1000.000,Connection Bracer
7,Connection Bracings 7 - Shaft 1,-563.333,-563.333,1000.000,Connection Bracer
8,Connection Bracings 8 - Shaft 1,-563.333,563.333,1000.000,Connection Bracer
9,Connection Bracings 9 - Shaft 1,554.167,554.167,2000.000,Connection Bracer
10,Connection Bracings 10 - Shaft 1,554.167,-554.167,2000.000,Connection Bracer
11,Connection Bracings 11 - Shaft 1,-554.167,-554.167,2000.000,Connection Bracer
12,Connection Bracings 12 - Shaft 1,-554.167,554.167,2000.000,Connection Bracer
13,Connection Bracings 13 - Shaft 1,545.000,545.000,3000.000,Connection Bracer
14,Connection Bracings 14 - Shaft 1,545.000,-545.000,3000.000,Connection Bracer
15,Connection Bracings 15 - Shaft 1,-545.000,-545.000,3000.000,Connection Bracer
16,Connection Bracings 16 - Shaft 1,-545.000,545.000,3000.000,Connection Bracer
17,Connection Bracings 17 - Shaft 1,535.833,535.833,4000.000,Connection Bracer
18,Connection Bracings 18 - Shaft 1,535.833,-535.833,4000.000,Connection Bracer
19,Connection Bracings 19 - Shaft 1,-535.833,-535.833,4000.000,Connection Bracer
20,Connection Bracings 20 - Shaft 1,-535.833,535.833,4000.000,Connection Bracer
21,Connection Bracings 21 - Shaft 1,526.667,526.667,5000.000,Connection Bracer
22,Connection Bracings 22 - Shaft 1,526.667,-526.667,5000.000,Connection Bracer
23,Connection Bracings 23 - Shaft 1,-526.667,-526.667,5000.000,Connection Bracer
24,Connection Bracings 24 - Shaft 1,-526.667,526.667,5000.000,Connection Bracer
25,Connection Shaft 25 - Shaft 1,517.500,517.500,6000.000,Connection Shaft
