Nodes
ID,Title,X,Y,Z,Type
33,Horizontal Bar 33 - Shaft 1,9,7,Horizontal Bar,pipe,Ø 33.7x3.8,S235,Yes,0,Alternating Diagonal,yes,yes
34,Horizontal Bar 34 - Shaft 1,10,11,Horizontal Bar,pipe,Ø 33.7x3.8,S235,Yes,0,Alternating Diagonal,yes,yes
35,Horizontal Bar 35 - Shaft 1,11,12,Horizontal Bar,pipe,Ø 33.7x3.8,S235,Yes,0,Alternating Diagonal,yes,yes
36,Horizontal Bar 36 - Shaft 1,12,10,Horizontal Bar,pipe,Ø 33.7x3.8,S235,Yes,0,Alternating Diagonal,yes,yes
37,Leg 37 - Shaft 2,13,16,Leg,pipe,Ø 88.9x6.3,S235,0,0,Alternating Diagonal,yes,yes
38,Leg 38 - Shaft 2,14,17,Leg,pipe,Ø 88.9x6.3,S235,0,0,Alternating Diagonal,yes,yes
39,Leg 39 - Shaft 2,15,18,Leg,pipe,Ø 88.9x6.3,S235,0,0,Alternating Diagonal,yes,yes
40,Leg 40 - Shaft 2,16,19,Leg,pipe,Ø 88.9x6.3,S235,0,0,Alternating Diagonal,yes,yes
41,Leg 41 - Shaft 2,17,20,Leg,pipe,Ø 88.9x6.3,S235,0,0,Alternating Diagonal,yes,yes
42,Leg 42 - Shaft 2,18,21,Leg,pipe,Ø 88.9x6.3,S235,0,0,Alternating Diagonal,yes,yes
43,Leg 43 - Shaft 2,19,22,Leg,pipe,Ø 88.9x6.3,S235,0,0,Alternating Diagonal,yes,yes
44,Leg 44 - Shaft 2,20,23,Leg,pipe,Ø 88.9x6.3,S235,0,0,Alternating Diagonal,yes,yes
45,Leg 45 - Shaft 2,21,24,Leg,pipe,Ø 88.9x6.3,S235,0,0,Alternating Diagonal,yes,yes
46,Leg 46 - Shaft 2,22,25,Leg,pipe,Ø 88.9x6.3,S235,0,0,Alternating Diagonal,yes,yes
47,Leg 47 - Shaft 2,23,26,Leg,pipe,Ø 88.9x6.3,S235,0,0,Alternating Diagonal,yes,yes
48,Leg 48 - Shaft 2,24,27,Leg,pipe,Ø 88.9x6.3,S235,0,0,Alternating Diagonal,yes,yes
49,Diagonal Bar 49 - Shaft 2,13,17,Diagonal Bar,pipe,Ø 42.4x3.8,S235,Yes,0,Alternating Diagonal,yes,yes
50,Diagonal Bar 50 - Shaft 2,14,18,Diagonal Bar,pipe,Ø 42.4x3.8,S235,Yes,0,Alternating Diagonal,yes,yes
51,Diagonal Bar 51 - Shaft 2,15,16,Diagonal Bar,pipe,Ø 42.4x3.8,S235,Yes,0,Alternating Diagonal,yes,yes
52,Diagonal Bar 52 - Shaft 2,17,19,Diagonal Bar,pipe,Ø 42.4x3.8,S235,Yes,0,Alternating Diagonal,yes,yes
53,Diagonal Bar 53 - Shaft 2,18,20,Diagonal Bar,pipe,Ø 42.4x3.8,S235,Yes,0,Alternating Diagonal,yes,yes
54,Diagonal Bar 54 - Shaft 2,16,21,Diagonal Bar,pipe,Ø 42.4x3.8,S235,Yes,0,Alternating Diagonal,yes,yes
55,Diagonal Bar 55 - Shaft 2,19,23,Diagonal Bar,pipe,Ø 42.4x3.8,S235,Yes,0,Alternating Diagonal,yes,yes
56,Diagonal Bar 56 - Shaft 2,20,24,Diagonal Bar,pipe,Ø 42.4x3.8,S235,Yes,0,Alternating Diagonal,yes,yes
57,Diagonal Bar 57 - Shaft 2,21,22,Diagonal Bar,pipe,Ø 42.4x3.8,S235,Yes,0,Alternating Diagonal,yes,yes
58,Diagonal Bar 58 - Shaft 2,23,25,Diagonal Bar,pipe,Ø 42.4x3.8,S235,Yes,0,Alternating Diagonal,yes,yes
59,Diagonal Bar 59 - Shaft 2,24,26,Diagonal Bar,pipe,Ø 42.4x3.8,S235,Yes,0,Alternating Diagonal,yes,yes
60,Diagonal Bar 60 - Shaft 2,22,27,Diagonal Bar,pipe,Ø 42.4x3.8,S235,Yes,0,Alternating Diagonal,yes,yes
61,Horizontal Bar 61 - Shaft 2,25,26,Horizontal Bar,pipe,Ø 33.7x3.8,S235,Yes,0,Alternating Diagonal,yes,yes
62,Horizontal Bar 62 - Shaft 2,26,27,Horizontal Bar,pipe,Ø 33.7x3.8,S235,Yes,0,Alternating Diagonal,yes,yes
63,Horizontal Bar 63 - Shaft 2,27,25,Horizontal Bar,pipe,Ø 33.7x3.8,S235,Yes,0,Alternating Diagonal,yes,yes
64,Horizontal Bar 64 - Shaft 2,16,17,Horizontal Bar,pipe,Ø 33.7x3.8,S235,Yes,0,Alternating Diagonal,yes,yes
65,Horizontal Bar 65 - Shaft 2,17,18,Horizontal Bar,pipe,Ø 33.7x3.8,S235,Yes,0,Alternating Diagonal,yes,yes
66,Horizontal Bar 66 - Shaft 2,18,16,Horizontal Bar,pipe,Ø 33.7x3.8,S235,Yes,0,Alternating Diagonal,yes,yes
67,Horizontal Bar 67 - Shaft 2,19,20,Horizontal Bar,pipe,Ø 33.7x3.8,S235,Yes,0,Alternating Diagonal,yes,yes
68,Horizontal Bar 68 - Shaft 2,20,21,Horizontal Bar,pipe,Ø 33.7x3.8,S235,Yes,0,Alternating Diagonal,yes,yes
69,Horizontal Bar 69 - Shaft 2,21,19,Horizontal Bar,pipe,Ø 33.7x3.8,S235,Yes,0,Alternating Diagonal,yes,yes
70,Horizontal Bar 70 - Shaft 2,22,23,Horizontal Bar,pipe,Ø 33.7x3.8,S235,Yes,0,Alternating Diagonal,yes,yes
71,Horizontal Bar 71 - Shaft 2,23,24,Horizontal Bar,pipe,Ø 33.7x3.8,S235,Yes,0,Alternating Diagonal,yes,yes
72,Horizontal Bar 72 - Shaft 2,24,22,Horizontal Bar,pipe,Ø 33.7x3.8,S235,Yes,0,Alternating Diagonal,yes,yes
73,Leg 73 - Shaft 3,25,28,Leg,pipe,Ø 88.9x5,S235,0,0,Alternating Diagonal,yes,yes
74,Leg 74 - Shaft 3,26,29,Leg,pipe,Ø 88.9x5,S235,0,0,Alternating Diagonal,yes,yes
75,Leg 75 - Shaft 3,27,30,Leg,pipe,Ø 88.9x5,S235,0,0,Alternating Diagonal,yes,yes
76,Leg 76 - Shaft 3,28,31,Leg,pipe,Ø 88.9x5,S235,0,0,Alternating Diagonal,yes,yes
77,Leg 77 - Shaft 3,29,32,Leg,pipe,Ø 88.9x5,S235,0,0,Alternating Diagonal,yes,yes
78,Leg 78 - Shaft 3,30,33,Leg,pipe,Ø 88.9x5,S235,0,0,Alternating Diagonal,yes,yes
79,Leg 79 - Shaft 3,31,34,Leg,pipe,Ø 88.9x5,S235,0,0,Alternating Diagonal,yes,yes
80,Leg 80 - Shaft 3,32,35,Leg,pipe,Ø 88.9x5,S235,0,0,Alternating Diagonal,yes,yes
81,Leg 81 - Shaft 3,33,36,Leg,pipe,Ø 88.9x5,S235,0,0,Alternating Diagonal,yes,yes
82,Leg 82 - Shaft 3,34,37,Leg,pipe,Ø 88.9x5,S235,0,0,Alternating Diagonal,yes,yes
83,Leg 83 - Shaft 3,35,38,Leg,pipe,Ø 88.9x5,S235,0,0,Alternating Diagonal,yes,yes
84,Leg 84 - Shaft 3,36,39,Leg,pipe,Ø 88.9x5,S235,0,0,Alternating Diagonal,yes,yes
85,Diagonal Bar 85 - Shaft 3,25,29,Diagonal Bar,pipe,Ø 42.4x3.8,S235,Yes,0,Alternating Diagonal,yes,yes
86,Diagonal Bar 86 - Shaft 3,26,30,Diagonal Bar,pipe,Ø 42.4x3.8,S235,Yes,0,Alternating Diagonal,yes,yes
87,Diagonal Bar 87 - Shaft 3,27,28,Diagonal Bar,pipe,Ø 42.4x3.8,S235,Yes,0,Alternating Diagonal,yes,yes
88,Diagonal Bar 88 - Shaft 3,29,31,Diagonal Bar,pipe,Ø 42.4x3.8,S235,Yes,0,Alternating Diagonal,yes,yes
89,Diagonal Bar 89 - Shaft 3,30,32,Diagonal Bar,pipe,Ø 42.4x3.8,S235,Yes,0,Alternating Diagonal,yes,yes
90,Diagonal Bar 90 - Shaft 3,28,33,Diagonal Bar,pipe,Ø 42.4x3.8,S235,Yes,0,Alternating Diagonal,yes,yes
91,Diagonal Bar 91 - Shaft 3,31,35,Diagonal Bar,pipe,Ø 42.4x3.8,S235,Yes,0,Alternating Diagonal,yes,yes
92,Diagonal Bar 92 - Shaft 3,32,36,Diagonal Bar,pipe,Ø 42.4x3.8,S235,Yes,0,Alternating Diagonal,yes,yes
93,Diagonal Bar 93 - Shaft 3,33,34,Diagonal Bar,pipe,Ø 42.4x3.8,S235,Yes,0,Alternating Diagonal,yes,yes
94,Diagonal Bar 94 - Shaft 3,35,37,Diagonal Bar,pipe,Ø 42.4x3.8,S235,Yes,0,Alternating Diagonal,yes,yes
95,Diagonal Bar 95 - Shaft 3,36,38,Diagonal Bar,pipe,Ø 42.4x3.8,S235,Yes,0,Alternating Diagonal,yes,yes
96,Diagonal Bar 96 - Shaft 3,34,39,Diagonal Bar,pipe,Ø 42.4x3.8,S235,Yes,0,Alternating Diagonal,yes,yes
97,Horizontal Bar 97 - Shaft 3,37,38,Horizontal Bar,pipe,Ø 33.7x3.8,S235,Yes,0,Alternating Diagonal,yes,yes
98,Horizontal Bar 98 - Shaft 3,38,39,Horizontal Bar,pipe,Ø 33.7x3.8,S235,Yes,0,Alternating Diagonal,yes,yes
