Nodes
ID,Title,X,Y,Z,Type
1,Tower Foundation Connection 1 - Shaft 1,600.000,600.000,0.000,Tower Foundation
2,Tower Foundation Connection 2 - Shaft 1,600.000,-600.000,0.000,Tower Foundation
3,Tower Foundation Connection 3 - Shaft 1,-600.000,-600.000,0.000,Tower Foundation
4,Tower Foundation Connection 4 - Shaft 1,-600.000,600.000,0.000,Tower Foundation
5,Connection Bracings 5 - Shaft 1,600.000,600.000,985.750,Connection Bracer
6,Connection Bracings 6 - Shaft 1,600.000,-600.000,985.750,Connection Bracer
7,Connection Bracings 7 - Shaft 1,-600.000,-600.000,985.750,Connection Bracer
8,Connection Bracings 8 - Shaft 1,-600.000,600.000,985.750,Connection Bracer
9,Connection Bracings 9 - Shaft 1,600.000,600.000,1971.500,Connection Bracer
10,Connection Bracings 10 - Shaft 1,600.000,-600.000,1971.500,Connection Bracer
11,Connection Bracings 11 - Shaft 1,-600.000,-600.000,1971.500,Connection Bracer
12,Connection Bracings 12 - Shaft 1,-600.000,600.000,1971.500,Connection Bracer
13,Connection Bracings 13 - Shaft 1,600.000,600.000,2957.250,Connection Bracer
14,Connection Bracings 14 - Shaft 1,600.000,-600.000,2957.250,Connection Bracer
15,Connection Bracings 15 - Shaft 1,-600.000,-600.000,2957.250,Connection Bracer
16,Connection Bracings 16 - Shaft 1,-600.000,600.000,2957.250,Connection Bracer
17,Connection Shaft 17 - Shaft 1,600.000,600.000,3943.000,Connection Shaft
18,Connection Shaft 18 - Shaft 1,600.000,-600.000,3943.000,Connection Shaft
19,Connection Shaft 19 - Shaft 1,-600.000,-600.000,3943.000,Connection Shaft
20,Connection Shaft 20 - Shaft 1,-600.000,600.000,3943.000,Connection Shaft
21,Connection Bracings 21 - Shaft 2,600.000,600.000,4928.800,Connection Bracer
22,Connection Bracings 22 - Shaft 2,600.000,-600.000,4928.800,Connection Bracer
23,Connection Bracings 23 - Shaft 2,-600.000,-600.000,4928.800,Connection Bracer
24,Connection Bracings 24 - Shaft 2,-600.000,600.000,4928.800,Connection Bracer
25,Connection Bracings 25 - Shaft 2,600.000,600.000,5914.600,Connection Bracer
26,Connection Bracings 26 - Shaft 2,600.000,-600.000,5914.600,Connection Bracer
27,Connection Bracings 27 - Shaft 2,-600.000,-600.000,5914.600,Connection Bracer
28,Connection Bracings 28 - Shaft 2,-600.000,600.000,5914.600,Connection Bracer
29,Connection Bracings 29 - Shaft 2,600.000,600.000,6900.400,Connection Bracer
30,Connection Bracings 30 - Shaft 2,600.000,-600.000,6900.400,Connection Bracer
31,Connection Bracings 31 - Shaft 2,-600.000,-600.000,6900.400,Connection Bracer
32,Connection Bracings 32 - Shaft 2,-600.000,600.000,6900.400,Connection Bracer
33,Connection Bracings 33 - Shaft 2,600.000,600.000,7886.200,Connection Bracer
34,Connection Bracings 34 - Shaft 2,600.000,-600.000,7886.200,Connection Bracer
35,Connection Bracings 35 - Shaft 2,-600.000,-600.000,7886.200,Connection Bracer
36,Connection Bracings 36 - Shaft 2,-600.000,600.000,7886.200,Connection Bracer
37,Connection Shaft 37 - Shaft 2,600.000,600.000,8872.000,Connection Shaft
38,Connection Shaft 38 - Shaft 2,600.000,-600.000,8872.000,Connection Shaft
39,Connection Shaft 39 - Shaft 2,-600.000,-600.000,8872.000,Connection Shaft
40,Connection Shaft 40 - Shaft 2,-600.000,600.000,8872.000,Connection Shaft
41,Connection Bracings 41 - Shaft 3,600.000,600.000,9857.800,Connection Bracer
42,Connection Bracings 42 - Shaft 3,600.000,-600.000,9857.800,Connection Bracer
43,Connection Bracings 43 - Shaft 3,-600.000,-600.000,9857.800,Connection Bracer
44,Connection Bracings 44 - Shaft 3,-600.000,600.000,9857.800,Connection Bracer
45,Connection Bracings 45 - Shaft 3,600.000,600.000,10843.600,Connection Bracer
46,Connection Bracings 46 - Shaft 3,600.000,-600.000,10843.600,Connection Bracer
