Nodes
ID,Title,X,Y,Z,Type
1,Tower Foundation Connection 1 - Shaft 1,866.025,1500.000,0.000,Tower Foundation
2,Tower Foundation Connection 2 - Shaft 1,866.025,-1500.000,0.000,Tower Foundation
3,Tower Foundation Connection 3 - Shaft 1,-1732.051,0.000,0.000,Tower Foundation
4,Connection Bracings 4 - Shaft 1,793.857,1375.000,2500.000,Connection Bracer
5,Connection Bracings 5 - Shaft 1,793.857,-1375.000,2500.000,Connection Bracer
6,Connection Bracings 6 - Shaft 1,-1587.713,0.000,2500.000,Connection Bracer
7,Connection Shaft 7 - Shaft 1,721.688,1250.000,5000.000,Connection Shaft
8,Connection Shaft 8 - Shaft 1,721.688,-1250.000,5000.000,Connection Shaft
9,Connection Shaft 9 - Shaft 1,-1443.376,0.000,5000.000,Connection Shaft
10,Connection Bracings 10 - Shaft 1,828.372,0.000,1304.348,Non-Connectable Node
11,Connection Bracings 11 - Shaft 1,-414.186,-717.391,1304.348,Non-Connectable Node
12,Connection Bracings 12 - Shaft 1,-414.186,717.391,1304.348,Non-Connectable Node
13,Connection Bracings 13 - Shaft 1,756.054,0.000,3809.524,Non-Connectable Node
14,Connection Bracings 14 - Shaft 1,-378.027,-654.762,3809.524,Non-Connectable Node
15,Connection Bracings 15 - Shaft 1,-378.027,654.762,3809.524,Non-Connectable Node

Lines
ID,Title,Start_Node_ID,End_Node_ID,Type,Type_of_Profile,Line_Profile,Steel_Type,Is_Welded,N_Bolts,Type_of_Shape,Top_Bars,Middle_Bars
1,Leg 1 - Shaft 1,1,4,Leg,pipe,Ø 76.1x5.0,S275,0,0,X-Bracing,yes,yes
2,Leg 2 - Shaft 1,2,5,Leg,pipe,Ø 76.1x5.0,S275,0,0,X-Bracing,yes,yes
3,Leg 3 - Shaft 1,3,6,Leg,pipe,Ø 76.1x5.0,S275,0,0,X-Bracing,yes,yes
4,Leg 4 - Shaft 1,4,7,Leg,pipe,Ø 76.1x5.0,S275,0,0,X-Bracing,yes,yes
5,Leg 5 - Shaft 1,5,8,Leg,pipe,Ø 76.1x5.0,S275,0,0,X-Bracing,yes,yes
6,Leg 6 - Shaft 1,6,9,Leg,pipe,Ø 76.1x5.0,S275,0,0,X-Bracing,yes,yes
7,Diagonal Bar 7 - Shaft 1,1,10,Diagonal Bar,pipe,Ø 139.7x5.0,S235,No,2,X-Bracing,yes,yes
8,Diagonal Bar 8 - Shaft 1,10,5,Diagonal Bar,pipe,Ø 139.7x5.0,S235,No,2,X-Bracing,yes,yes
9,Diagonal Bar 9 - Shaft 1,2,10,Diagonal Bar,pipe,Ø 139.7x5.0,S235,No,2,X-Bracing,yes,yes
10,Diagonal Bar 10 - Shaft 1,10,4,Diagonal Bar,pipe,Ø 139.7x5.0,S235,No,2,X-Bracing,yes,yes
11,Diagonal Bar 11 - Shaft 1,2,11,Diagonal Bar,pipe,Ø 139.7x5.0,S235,No,2,X-Bracing,yes,yes
12,Diagonal Bar 12 - Shaft 1,11,6,Diagonal Bar,pipe,Ø 139.7x5.0,S235,No,2,X-Bracing,yes,yes
13,Diagonal Bar 13 - Shaft 1,3,11,Diagonal Bar,pipe,Ø 139.7x5.0,S235,No,2,X-Bracing,yes,yes
14,Diagonal Bar 14 - Shaft 1,11,5,Diagonal Bar,pipe,Ø 139.7x5.0,S235,No,2,X-Bracing,yes,yes
15,Diagonal Bar 15 - Shaft 1,3,12,Diagonal Bar,pipe,Ø 139.7x5.0,S235,No,2,X-Bracing,yes,yes
16,Diagonal Bar 16 - Shaft 1,12,4,Diagonal Bar,pipe,Ø 139.7x5.0,S235,No,2,X-Bracing,yes,yes
17,Diagonal Bar 17 - Shaft 1,1,12,Diagonal Bar,pipe,Ø 139.7x5.0,S235,No,2,X-Bracing,yes,yes
18,Diagonal Bar 18 - Shaft 1,12,6,Diagonal Bar,pipe,Ø 139.7x5.0,S235,No,2,X-Bracing,yes,yes
19,Diagonal Bar 19 - Shaft 1,4,13,Diagonal Bar,pipe,Ø 139.7x5.0,S235,No,2,X-Bracing,yes,yes
20,Diagonal Bar 20 - Shaft 1,13,8,Diagonal Bar,pipe,Ø 139.7x5.0,S235,No,2,X-Bracing,yes,yes
21,Diagonal Bar 21 - Shaft 1,5,13,Diagonal Bar,pipe,Ø 139.7x5.0,S235,No,2,X-Bracing,yes,yes
22,Diagonal Bar 22 - Shaft 1,13,7,Diagonal Bar,pipe,Ø 139.7x5.0,S235,No,2,X-Bracing,yes,yes
23,Diagonal Bar 23 - Shaft 1,5,14,Diagonal Bar,pipe,Ø 139.7x5.0,S235,No,2,X-Bracing,yes,yes
24,Diagonal Bar 24 - Shaft 1,14,9,Diagonal Bar,pipe,Ø 139.7x5.0,S235,No,2,X-Bracing,yes,yes
