Nodes
ID,Title,X,Y,Z,Type
1,Tower Foundation Connection 1 - Shaft 1,1550.763,2686.000,0.000,Tower Foundation
2,Tower Foundation Connection 2 - Shaft 1,1550.763,-2686.000,0.000,Tower Foundation
3,Tower Foundation Connection 3 - Shaft 1,-3101.526,0.000,0.000,Tower Foundation
4,Connection Bracings 4 - Shaft 1,1498.994,2596.333,1945.000,Connection Bracer
5,Connection Bracings 5 - Shaft 1,1498.994,-2596.333,1945.000,Connection Bracer
6,Connection Bracings 6 - Shaft 1,-2997.988,0.000,1945.000,Connection Bracer
7,Connection Bracings 7 - Shaft 1,1447.225,2506.667,3890.000,Connection Bracer
8,Connection Bracings 8 - Shaft 1,1447.225,-2506.667,3890.000,Connection Bracer
9,Connection Bracings 9 - Shaft 1,-2894.449,0.000,3890.000,Connection Bracer
10,Connection Shaft 10 - Shaft 1,1395.456,2417.000,5835.000,Connection Shaft
11,Connection Shaft 11 - Shaft 1,1395.456,-2417.000,5835.000,Connection Shaft
12,Connection Shaft 12 - Shaft 1,-2790.911,0.000,5835.000,Connection Shaft
13,Connection Bracings 13 - Shaft 1,1498.994,0.000,1945.000,Non-Connectable Node
14,Connection Bracings 14 - Shaft 1,-749.497,-1298.167,1945.000,Non-Connectable Node
15,Connection Bracings 15 - Shaft 1,-749.497,1298.167,1945.000,Non-Connectable Node
16,Connection Bracings 16 - Shaft 1,1395.456,0.000,5835.000,Non-Connectable Node
17,Connection Bracings 17 - Shaft 1,-697.728,-1208.500,5835.000,Non-Connectable Node
18,Connection Bracings 18 - Shaft 1,-697.728,1208.500,5835.000,Non-Connectable Node
19,Connection Bracings 19 - Shaft 2,1343.494,2327.000,7780.000,Connection Bracer
20,Connection Bracings 20 - Shaft 2,1343.494,-2327.000,7780.000,Connection Bracer
21,Connection Bracings 21 - Shaft 2,-2686.988,0.000,7780.000,Connection Bracer
22,Connection Bracings 22 - Shaft 2,1291.533,2237.000,9725.000,Connection Bracer
23,Connection Bracings 23 - Shaft 2,1291.533,-2237.000,9725.000,Connection Bracer
24,Connection Bracings 24 - Shaft 2,-2583.065,0.000,9725.000,Connection Bracer
25,Connection Shaft 25 - Shaft 2,1239.571,2147.000,11670.000,Connection Shaft
26,Connection Shaft 26 - Shaft 2,1239.571,-2147.000,11670.000,Connection Shaft
27,Connection Shaft 27 - Shaft 2,-2479.142,0.000,11670.000,Connection Shaft
28,Connection Bracings 28 - Shaft 3,1187.706,2057.167,13615.000,Connection Bracer
29,Connection Bracings 29 - Shaft 3,1187.706,-2057.167,13615.000,Connection Bracer
30,Connection Bracings 30 - Shaft 3,-2375.411,0.000,13615.000,Connection Bracer
31,Connection Bracings 31 - Shaft 3,1135.840,1967.333,15560.000,Connection Bracer
32,Connection Bracings 32 - Shaft 3,1135.840,-1967.333,15560.000,Connection Bracer
33,Connection Bracings 33 - Shaft 3,-2271.681,0.000,15560.000,Connection Bracer
34,Connection Shaft 34 - Shaft 3,1083.975,1877.500,17505.000,Connection Shaft
